EF48,TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5
546.3737908646661,2,3
533.7552417335212,2,3
703.905413273737,2,3
547.6696714267101,2,3
527.0940709086578,2,3
688.7286767225208,2,3
494.5133672367462,2,3
258.82314320628166,2,3
72.59627941203948,2,3
463.18353776366035,2,3
454.41320957559026,2,3
111.61439742952744,2,3
324.54732458786367,2,3
511.8282594305315,2,3
478.79145000538267,2,3
1263.1463441156106,2,3
1269.7291970243016,2,3
1250.2266169013017,2,3
1270.7655929008063,2,3
1258.5214292050816,2,3
1271.8709892452,2,3
1265.3598170032806,2,3
1263.247735806851,2,3
1266.36811037911,2,3
1277.421817678101,2,3
1273.9950334348557,2,3
1251.0831582769333,2,3
1251.8816115153259,2,3
1712.7784467705494,1,3
1602.0842356560788,1,3
1558.7446501272002,1,3
1672.0738895147765,1,3
1574.2664491833418,1,3
1542.6248540991112,1,3
1734.0120684629953,1,3
1634.6663099597863,1,3
1275.2807123863379,1,3
1254.570988807496,1,3
1264.1491422316049,1,3
1267.7503414839355,1,3
1279.0067855672974,1,3
1262.448112850106,1,3
1268.5434269570967,1,3
1263.7430745810523,1,3
1272.6041883070345,1,3
1267.406720797448,1,3
540.50496645728,1,3
784.1259171226125,1,3
770.509908062631,1,3
540.8195729196227,1,3
562.0409854240149,1,3
784.9264136601146,1,3
818.4415494906068,1,3
791.2942297520246,1,3
731.2538896465619,1,3
707.2811238858723,1,3
477.1588779674053,1,3
121.07247505059274,1,3
455.6986712343174,1,3
379.7708497665042,1,3
511.8078950810111,1,3
283.02116748777075,1,3
315.3679640237619,1,3
479.20644352846665,1,3
104.06657712153405,1,3
2078.261789790456,1,1
2077.8853352761053,1,1
2104.64560119735,1,1
467.8287981817571,2,1
453.3722415788096,2,1
510.96890390419395,2,1
454.8955563761877,2,1
456.09255961834606,2,1
475.91937710214927,2,1
504.19096378320444,2,1
486.3345610718443,2,1
493.35331690045507,2,1
482.0610689117868,2,1
449.39494124427546,2,1
500.03280279418266,2,1
481.95298923989344,2,1
1248.6505736137933,2,1
1713.1581464673045,2,1
1761.1075830079715,2,1
1829.5154786539706,2,1
1271.9964623355388,2,1
1838.2793148129713,2,1
1264.2408080556409,2,1
291.61540163081946,1,1
301.5509459557556,1,1
83.80327428792228,1,1
454.5572358295877,1,1
481.3312291141695,1,1
683.1866498711769,1,1
747.3230949151202,1,1
674.4177327222018,1,1
682.5178441033047,1,1
749.2233876138699,1,1
710.0908001198995,1,1
684.8492241900278,1,1
708.1326801095844,1,1
685.7522739990069,1,1
684.9951906011524,1,1
696.1962513005471,1,1
1639.3279684727825,1,1
1584.5391600967973,1,1
1790.4363991369198,1,1
1629.0306677920537,1,1
1539.0238226521042,1,1
1732.4119224153128,1,1
1607.9433348982784,1,1
1567.1170520271755,1,1
1625.469762643449,1,1
1673.6333551679409,1,1
1656.4348520464794,1,1
1110.7530685576212,1,1
1273.4360739235594,1,1
1268.9694526539088,1,1
1255.4197474833954,1,1
1271.7393406621618,1,1
1264.0417049699693,1,1
1265.7164745549405,1,1
2102.793086548753,1,3
2061.2411653485697,1,3
2049.533912828419,1,3
2049.5056020281154,1,3
2079.6939543100993,1,3
2077.206116612234,1,3
2048.108409110543,1,3
