EF48,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,TAETIGKEITSSCHLUESSEL5
70.28380977855429,1,45,1,aa,51,2,3
71.69867123431739,1,20,2,aa,29,2,3
96.5064940051019,1,45,2,aa,50,1,3
107.06285940992508,1,53,2,aa,6,6,3
110.24789602220471,2,20,2,aa,7,6,1
118.93911601707987,2,18,2,aa,51,6,1
126.87553933576669,1,50,1,aa,29,2,1
127.80789508101111,2,20,1,aa,4,5,3
264.63363602494996,1,20,1,aa,14,5,3
282.4098089179617,1,20,2,aa,28,5,3
295.65759636351424,2,28,2,aa,14,1,1
315.7706705522109,2,20,2,aa,28,1,3
343.02776990612483,2,18,2,aa,2,5,3
365.12284954535164,1,40,1,aa,15,1,3
370.77321236156865,2,45,2,aa,28,2,1
449.6368032817554,2,40,2,aa,28,5,3
456.5962794120395,2,50,2,aa,14,5,1
477.6839820118809,2,27,2,aa,3,2,1
480.2982844632097,1,45,2,aa,15,2,1
486.6576954848355,2,40,1,aa,54,2,1
490.3166932354238,1,53,2,aa,14,5,1
492.2089872331861,1,45,2,aa,14,5,3
495.58207899628496,1,20,2,aa,48,5,1
504.6724013985687,2,20,2,aa,49,5,3
513.739840284881,2,37,1,aa,20,1,3
523.3723250636001,1,40,1,aa,14,3,3
535.1113719519112,1,20,2,aa,14,3,3
552.066577121534,2,20,2,aa,33,5,3
566.655440108487,2,41,1,aa,32,2,3
570.2237851015359,2,45,1,aa,34,6,3
570.8436353562018,1,47,1,aa,34,4,1
572.0028417523548,2,18,1,aa,35,5,1
573.9976339587473,2,18,1,aa,14,3,1
675.0831582769333,1,47,1,aa,32,3,1
679.5470354543289,1,60,2,aa,20,6,1
681.5666122958354,2,32,2,aa,20,5,1
683.6339695251756,2,37,2,aa,48,2,1
686.8146303626719,2,52,2,aa,48,5,3
689.5030171157489,2,36,1,aa,23,2,3
699.9115311991607,1,36,2,aa,48,2,1
703.905413273737,2,50,2,aa,48,2,1
719.4191731660238,2,45,1,aa,49,2,1
740.5036734313262,1,40,2,aa,33,2,1
749.6125555856821,1,41,2,aa,8,5,1
766.9689039041939,1,20,2,aa,8,4,1
