EF19,TAETIGKEITSSCHLUESSEL4
372,2
371,2
320,2
335,2
373,2
371,2
369,2
375,2
320,2
267,2
265,2
271,2
258,2
316,2
318,2
316,2
317,2
318,2
52,2
52,2
50,2
51,2
54,2
52,2
53,2
48,2
52,2
53,2
121,2
118,2
107,2
100,2
114,2
119,2
88,2
93,2
93,2
91,2
82,2
67,2
255,2
214,2
230,2
215,2
243,2
242,2
173,2
128,2
132,2
163,2
165,2
168,2
171,2
169,2
109,1
126,1
112,1
120,1
104,1
97,1
111,1
110,1
17,1
21,1
17,1
17,1
22,1
17,1
18,1
19,1
19,1
20,1
16,1
17,1
163,1
172,1
160,1
172,1
172,1
171,1
170,1
166,1
223,1
203,1
206,1
196,1
206,1
195,1
220,1
235,1
239,1
225,1
255,1
247,1
229,1
251,1
250,1
229,1
255,1
327,1
323,1
330,1
324,1
333,1
325,1
375,1
373,1
375,1
369,1
368,1
370,1
375,1
368,1
373,1
318,1
317,1
316,1
316,1
319,1
316,1
318,1
318,1
318,1
262,1
257,1
261,1
261,1
271,1
