EF21H,TAETIGKEITSSCHLUESSEL4
316.2967238580833,2
435.07195565297764,2
391.9146414498757,2
511.62165309494816,2
366.1206317405565,2
795.9485594925563,2
783.0940709086578,2
825.4357789144894,2
865.0334550526876,2
887.2566836183731,2
973.3738140004684,2
1021.7510786715334,2
868.2981397060197,2
866.9036178574933,2
885.5314297049625,2
867.2066047877952,2
878.8146303626719,2
885.1583466177119,2
802.2736622939318,2
973.1662041467928,2
933.3356869685599,2
957.5829000107653,2
1001.731068037342,2
970.5535124856704,2
982.9167880972066,2
910.3391938071294,2
1105.2254283823618,2
1261.5311858016128,2
1252.260227146232,2
1178.3156797448842,2
1199.7419784904002,2
1097.6298036763033,2
1093.3903899051875,2
1103.247735806851,2
1200.6836024275294,2
1210.223785101536,2
2518.7490828496143,2
2485.243520867896,2
2340.02938745061,2
2097.3305324309335,2
2534.8519066587323,2
2412.900444685457,2
2243.1137870821976,2
2420.173277380097,2
2171.353385328191,2
2138.9786005088013,2
2494.5844991865715,2
2061.918722279048,2
6756.263186933469,2
6581.066634289032,2
6888.574049611243,2
7264.193095407926,2
7558.687591461956,2
7381.046255514734,2
7889.965592725626,2
3990.185698892549,1
3098.1888525080863,1
2306.3862757056777,1
2308.051952040815,1
2098.2704782284345,1
1119.0067855672974,1
1116.643647024567,1
1092.5343650461948,1
1108.5434269570967,1
1095.9896209979452,1
1095.5910913132104,1
1201.2083766140688,1
1225.1692543488916,1
1235.0735319185233,1
1244.50496645728,1
1243.3845946794515,1
1251.7809473053267,1
1218.509908062631,1
1160.5648531376207,1
1343.3788397206993,1
1480.16394169606,1
1293.6757230416238,1
1997.9536302352258,1
1993.766197962427,1
1972.3494535252541,1
1967.618390161079,1
1901.0155585862476,1
2047.6495188094239,1
1885.9339800588764,1
541.1588779674053,1
521.1325434631204,1
540.9674725598605,1
519.6986712343174,1
568.6724013985687,1
558.2478960222047,1
575.8078950810111,1
516.316818012475,1
573.9976339587473,1
541.683982011881,1
533.6860909785445,1
559.582078996285,1
552.066577121534,1
535.1113719519112,1
572.0028417523548,1
797.8853352761055,1
781.2049044589809,1
811.5138849530624,1
787.8287981817572,1
822.9391160170799,1
788.5418800264076,1
830.9689039041939,1
813.1289906412563,1
824.3039811799713,1
776.0925596183461,1
772.4048507803257,1
787.574858570657,1
376.19096378320444,1
326.37640262097403,1
317.7637421820578,1
317.66916461255687,1
315.2226743161168,1
312.7436015903361,1
312.1743676555344,1
371.25089722063797,1
313.10805952470463,1
316.24412365498665,1
316.58050714038376,1
88.67192121400167,1
49.158146467304505,1
12.563096562575666,1
44.734034845875584,1
