EF10,TAETIGKEITSSCHLUESSEL4,B52,TAETIGKEITSSCHLUESSEL5
2,2,1228.2878226119105,3
2,2,1534.4866123797926,3
2,2,1247.588475940451,3
2,2,1483.4862313159153,3
2,2,1396.1069378939696,3
2,2,1527.0043146861335,3
2,2,1070.4578857198928,3
1,2,454.41320957559026,1
1,2,917.1583466177119,1
1,2,915.2915510366981,1
1,2,911.3957250026913,1
1,2,677.2767562428352,1
1,1,71.1695969035647,3
1,1,173.53118580161276,3
1,1,90.31567974488414,3
1,1,147.2596073526063,3
1,1,158.49547161370205,3
1,1,186.22378510153595,3
1,1,859.3277200542435,3
1,1,835.0831582769333,3
1,1,854.806277792841,3
1,1,855.260829836256,3
1,1,837.6861625318,3
1,1,832.8699201424405,3
1,1,838.8291661607661,3
2,1,17.503017115748847,1
2,1,19.328847742417725,1
2,1,28.69330309039217,1
2,1,16.149142231604863,1
2,1,3.1419048892771464,1
2,1,28.643647024566967,1
2,1,20.54342695709672,1
2,1,7.591091313210427,1
2,1,4.584627174445814,1
2,1,14.252483228640013,1
2,1,17.890473652663378,1
2,1,4.282426568810397,1
2,1,25.020492712007485,1
2,1,25.74420377940321,1
2,1,22.54368169065677,1
2,1,218.03111717249533,3
2,1,187.86796011775272,3
2,1,73.06034770496376,3
2,1,61.5893698745391,3
2,1,369.98316817763776,3
2,1,34.534544099799916,3
2,1,237.47185609504749,3
2,1,855.7910394981425,3
2,1,843.5556859759556,3
2,1,846.9426676380527,3
2,1,853.7569424765312,3
2,1,859.4695580085399,3
2,1,863.484451952097,3
2,1,860.1519905899856,3
2,1,834.2024253901628,3
2,1,860.0954818916023,3
2,2,558.1099374564624,1
2,2,537.7813945289346,1
2,2,0.6974706221377183,1
2,2,520.8644761976371,1
2,2,548.6440571230703,1
2,2,88.57907323365225,1
2,2,598.3670174229378,1
2,2,575.1011193611448,1
2,2,121.11725925188512,1
2,2,75.06990170282657,1
2,2,16.44896770010438,1
1,1,670.4261943033782,1
1,1,763.2454568075104,1
1,1,934.3398627798401,1
1,1,858.5847593209623,1
1,1,547.5498071038551,1
1,1,544.4901904791925,1
1,1,560.7264009591963,1
1,1,884.6268967238163,1
1,1,582.8769561459244,1
1,1,719.9230496184398,1
1,1,698.7571060550232,1
1,1,848.0935311534479,1
1,1,511.2181995684599,1
1,1,301.525657531152,1
1,1,499.1336148992259,1
1,1,399.8866697965568,1
1,1,364.5305785391821,1
2,2,76.11288913365334,3
2,2,124.21742602323974,3
2,2,96.6407898300329,3
2,2,44.273961248964895,3
2,2,59.357979867163124,3
2,2,63.499063685771716,3
2,2,176.6588354537112,3
2,2,182.79308654875277,3
2,2,175.48484636402847,3
2,2,150.14737312911748,3
2,2,239.8469771550496,3
2,2,236.38274554206473,3
2,2,121.83701994599022,3
2,2,73.46809622491112,3
2,2,106.43122039224662,3
1,1,1257.4655231406377,3
1,1,1258.528576923905,3
1,1,1259.1017732262492,3
1,1,1269.5228524658462,3
1,1,1276.9031120208638,3
1,1,1174.7738617803782,3
1,1,1188.7585503808157,3
1,1,1190.459961388391,3
1,1,1261.5803532112739,3
1,2,1177.38288375185,1
1,2,1174.049868030527,1
1,2,1134.274929495113,1
1,2,1175.0332180088635,1
1,2,1132.1342566787573,1
1,2,1149.9196417731976,1
1,2,1125.0632027828424,1
1,2,4.963891634325478,3
1,2,399.51212384094583,3
1,2,259.08015444223884,3
1,2,499.29756283880823,3
1,2,914.075397687816,3
1,2,926.625401299904,3
1,2,863.596325119954,3
1,2,538.8971502186597,3
1,2,470.6153790956976,3
2,1,1149.9370142680132,1
2,1,1146.8615627583542,1
2,1,1143.4484458361053,1
2,1,1142.859705184368,1
2,1,1148.9223239586543,1
2,1,1120.1035250189022,1
2,1,1126.5675946484362,1
