EF41,TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
60,2,3
32,2,3
32,2,3
32,2,3
37,2,3
45,2,3
37,2,3
33,2,3
52,2,1
51,2,1
50,2,1
51,2,1
50,2,1
53,2,1
53,2,1
52,2,1
51,2,1
51,2,1
51,2,1
53,2,1
53,2,1
53,2,1
51,1,3
60,1,3
53,1,3
53,1,3
50,1,3
53,1,3
41,1,3
41,1,3
40,1,3
41,1,3
41,1,3
41,1,3
40,1,3
45,1,3
46,1,3
45,1,3
37,1,3
36,1,3
36,1,3
36,1,3
36,1,3
37,1,3
36,1,3
37,1,3
36,1,3
45,1,1
46,1,1
46,1,1
47,1,1
46,1,1
47,1,1
47,1,1
46,1,1
45,1,1
45,1,1
45,1,1
45,1,1
45,1,1
45,1,1
45,1,1
45,1,1
45,1,1
45,1,1
53,1,1
53,1,1
52,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
53,1,1
52,1,1
52,1,1
52,1,1
53,1,1
53,1,1
53,1,1
53,1,1
18,1,3
18,1,3
18,1,3
18,1,3
18,1,3
18,1,3
18,1,3
18,1,3
18,1,3
18,1,3
28,1,3
29,1,3
28,1,3
29,1,3
20,1,1
20,1,1
27,1,1
20,1,1
27,1,1
20,2,3
20,2,3
20,2,3
20,2,3
20,2,3
20,2,3
20,2,3
20,2,3
20,2,3
20,2,3
20,2,3
20,2,3
20,2,1
20,2,1
20,2,1
20,2,1
20,2,1
20,2,1
20,2,1
20,2,1
20,2,1
20,2,1
