EF21,TAETIGKEITSSCHLUESSEL4
17599,2
13074,2
2026,2
32671,2
44574,2
39922,2
108428,2
113847,2
106760,2
112449,2
111447,2
97728,2
69937,2
214478,2
224016,2
214633,2
204193,2
207441,2
221766,2
255637,2
250538,2
253642,2
259293,2
255302,2
256885,2
247595,2
153756,2
191879,2
153872,2
153236,2
154607,2
348994,2
330439,2
351870,2
356527,2
358969,2
359127,2
358055,2
353408,2
345642,2
359643,2
318265,2
307399,2
318731,2
302806,2
300734,2
323493,2
295802,2
304708,2
301905,2
379810,1
381312,1
382490,1
381780,1
383815,1
384177,1
377041,1
380966,1
380992,1
377636,1
384769,1
384164,1
299555,1
315948,1
303093,1
302685,1
320106,1
299606,1
304677,1
309506,1
308932,1
111075,1
106817,1
107592,1
108524,1
112901,1
106933,1
113086,1
91362,1
112267,1
88015,1
109984,1
114676,1
12023,1
14929,1
4675,1
14831,1
3941,1
29016,1
23678,1
32669,1
2210,1
31742,1
15198,1
11103,1
24362,1
154116,1
153031,1
155392,1
153464,1
152397,1
154336,1
152821,1
155068,1
152866,1
155582,1
175393,1
178253,1
165911,1
164967,1
168851,1
178224,1
214624,1
224796,1
224602,1
219592,1
214514,1
213349,1
226112,1
215261,1
221683,1
222372,1
224342,1
219284,1
214600,1
218717,1
218639,1
