B27,TAETIGKEITSSCHLUESSEL4,B52,TAETIGKEITSSCHLUESSEL5
aa,2,1161.3426498635263,3
aa,2,1155.9573207249377,3
aa,2,1156.3627628958807,3
aa,2,1179.9485594925563,3
aa,2,1215.8363925802134,3
aa,2,1154.0669101053752,3
aa,2,1212.7376506423936,3
aa,2,1214.8755393357667,3
aa,2,1157.2550304598217,3
aa,2,1195.062859409925,3
aa,2,226.83734645642448,1
aa,2,170.31669323542383,1
aa,2,253.4459547715861,1
aa,2,338.66784348427996,1
aa,2,224.22292949350503,1
aa,2,101.2767562428352,1
aa,2,355.74886873264234,1
aa,2,913.2254283823618,1
aa,2,596.7686432403203,1
aa,2,602.3156797448842,1
aa,2,899.1520687794416,1
aa,2,901.3903899051874,1
aa,2,907.1656807057351,1
aa,2,634.2237851015359,1
aa,2,987.6706624445001,1
aa,2,978.2518367156631,1
aa,2,976.1542333134206,1
aa,1,173.6125555856821,3
aa,1,249.94339424221735,3
aa,1,231.70958658301194,3
aa,1,232.2778670484848,3
aa,1,224.8699201424405,3
aa,1,230.28506691873534,3
aa,1,235.63396952517567,3
aa,1,224.40635523138167,3
aa,1,243.32884774241774,3
aa,1,144.28504927743012,3
aa,1,129.6368032817554,3
aa,1,249.53562392886332,3
aa,1,227.14190488927716,3
aa,1,252.1049991812926,3
aa,1,228.53436504619484,3
aa,1,672.7135691743888,3
aa,1,655.1821826264209,3
aa,1,663.9070631509859,3
aa,1,841.5367659592616,3
aa,1,843.9505227522773,3
aa,1,849.8904736526633,3
aa,1,835.8424826117489,3
aa,1,839.9223549650874,3
aa,1,843.681786657908,3
aa,1,857.7442037794032,3
aa,1,834.5069829963248,3
aa,1,853.9522987701349,3
aa,1,854.0361335077438,3
aa,1,843.7417475073595,3
aa,1,659.1967129737031,1
aa,1,668.9674725598605,1
aa,1,672.7405130955426,1
aa,1,983.1239480111024,1
aa,1,916.105770183146,1
aa,1,926.9988169793737,1
aa,1,924.527712067742,1
aa,1,919.7910394981425,1
aa,1,922.9620488479977,1
aa,1,926.0014208761773,1
aa,1,986.2406512489788,1
aa,1,917.7569424765312,1
aa,1,4.935377974092134,1
aa,1,84.54188002640763,1
aa,1,156.7197444635161,1
aa,1,28.151990589985672,1
aa,1,19.206940874349964,1
aa,1,9.787429285328532,1
aa,1,10.407682734727342,1
aa,1,174.10993745646238,1
aa,1,374.8815858892574,1
aa,1,325.9488127226887,1
aa,1,336.2662095281347,1
aa,1,328.86447619763715,1
aa,1,382.49188205639325,1
aa,1,364.33596060700086,1
aa,2,625.0479943947136,3
aa,2,598.3670174229378,3
aa,2,582.715409527769,3
aa,2,580.0597788965133,3
aa,2,560.164215446217,3
aa,2,523.0699017028265,3
aa,2,657.3065032495891,3
aa,2,639.3141827364228,3
aa,2,540.458367523835,3
aa,2,607.4056821009387,3
aa,2,242.245519544441,3
aa,2,242.9778458145886,3
aa,2,242.8314514066087,3
aa,2,226.22186294399094,3
aa,2,162.96846703448742,3
aa,2,129.15569201439928,3
aa,2,252.12732031023026,3
aa,2,247.28918104523854,3
aa,2,240.82062374104603,3
aa,2,235.589239443009,3
aa,2,239.3189711644518,3
aa,1,1175.344638256878,3
aa,1,1195.3961688117959,3
aa,1,1262.638087413727,3
aa,1,1148.071977792255,3
aa,1,1125.690707191394,3
aa,1,1149.8566537026654,3
aa,1,1125.7237943418763,3
aa,1,1129.1864609237239,3
aa,1,1179.1326446347955,3
aa,1,1169.650918916659,3
aa,1,1126.0073644192698,3
aa,1,1142.5660236789674,3
aa,1,1132.0800987287541,3
aa,2,1127.3892496600151,1
aa,2,1127.1364751387193,1
aa,2,1122.5646334934877,1
aa,2,1167.874765921443,1
aa,2,1181.4504225909245,1
aa,2,1187.2238113339117,1
aa,2,1151.4115727432572,1
aa,1,1143.7424231820141,1
aa,1,1149.0285306286673,1
aa,1,1145.4170880471415,1
aa,1,1139.181750462072,1
aa,1,1132.3827455420646,1
aa,1,1268.121442509502,1
aa,1,1269.0117568953794,1
aa,1,1276.8590826917625,1
