EF19,TAETIGKEITSSCHLUESSEL4,B52
372,2,1132.7679889132444
317,2,1159.2049115369166
319,2,1198.1206317405565
318,2,1189.67738185804
369,2,1209.4357789144894
264,2,1121.1460383566052
267,2,1139.3434535001172
256,2,1174.9461082593093
369,2,1157.8072357149865
369,2,1215.7307569900945
67,2,157.62926072534373
107,2,339.6333136885592
104,2,166.5831020733964
111,2,132.84304904295982
79,2,180.86553401867096
119,2,424.2098524954972
106,2,3.5847984517823512
97,2,24.87334886692665
123,2,164.260227146232
117,2,510.46676217849654
123,2,467.2596073526063
104,2,491.45449293182884
167,2,24.341801213764676
210,2,297.0667341994075
221,2,315.3277200542435
217,2,158.21572461778416
67,2,926.4282441661708
67,2,918.2758790002273
102,2,919.260829836256
80,2,903.2889370533753
98,2,923.9115311991607
97,2,912.7708877850205
100,2,902.8291661607661
112,2,980.2216393200201
104,2,556.2089872331861
22,1,15.306574524962773
22,1,28.69330309039217
17,1,9.901349921782721
20,1,240.25324700255095
20,1,235.8079041760533
23,1,28.643647024566967
19,1,11.630778329596573
21,1,231.98962099794505
19,1,241.73524564312706
22,1,836.5846271744458
20,1,918.1324511582432
19,1,909.6922973397258
18,1,905.6433492008042
160,1,292.2824265688104
167,1,363.09577225618733
172,1,323.41893076040594
200,1,458.0405914850577
236,1,365.08736338131354
245,1,460.06702877659546
166,1,31.95618985117799
240,1,462.73775764563834
247,1,137.13254346312047
174,1,251.55565929202402
161,1,252.33620069928435
239,1,362.303649757134
255,1,834.1584090062375
198,1,524.5821030906818
247,1,906.8430454892722
207,1,565.5666345691092
212,1,535.1113719519112
207,1,898.2798752425743
206,1,653.2049044589809
254,1,547.4364383493684
164,1,987.4695580085399
194,1,852.7184150593656
375,1,22.564495320628158
321,1,380.31604309101306
322,1,452.40485078032566
371,1,69.69590416338178
375,1,326.37640262097403
318,1,474.69718168940705
331,1,473.78139452893464
328,1,491.6468035175859
368,1,25.625448610318976
333,1,18.372272779248863
318,1,18.322028561535134
320,1,686.9971609306896
326,1,835.1407741406439
332,1,923.753988354693
317,1,703.1011193611448
318,1,837.509302272875
319,1,644.8287707442028
318,1,624.9586179962841
260,1,848.4489677001044
325,2,481.4717432546877
370,2,16.305196647983106
368,2,13.243020079709545
372,2,250.39624142374
325,2,22.177059224047778
330,2,26.45094007956036
321,2,139.9669313205085
325,2,132.06127380989906
373,2,501.58807456074317
368,2,492.35868223843295
371,2,126.42622083580999
316,1,1160.8596195182406
371,1,1151.61929084288
326,1,1133.5536671543339
319,1,1212.932246954862
374,1,1194.011691394181
166,1,1142.6010162767184
255,1,1332.8314039921077
251,1,1132.2724801255447
192,1,1342.3917018624034
209,1,1329.6579083991742
209,1,1122.0805576496248
163,1,1164.8177000590706
251,1,1164.1128891336534
241,1,1172.3864681901807
255,1,1211.694072319707
250,1,1204.3102281985452
252,1,1163.0684903122412
250,1,1184.9846851775822
49,2,1171.193990846836
87,2,1199.493864426641
248,2,1196.164708863428
52,2,1182.178839927377
219,2,1215.661488073151
49,2,1128.3687912596026
240,2,1174.1473731291176
64,2,1211.2140878805096
135,2,1120.038991027783
