EF19,TAETIGKEITSSCHLUESSEL4,B52,TAETIGKEITSSCHLUESSEL5
196,2,204.28782261191049,1
135,2,510.4866123797926,1
220,2,223.58847594045102,1
60,2,918.9724626318306,1
8,2,744.2138757879393,1
154,2,1006.0086293722671,1
34,2,92.91577143978577,1
172,2,102.61135320944436,1
118,2,677.0670917667811,1
137,2,617.329633174342,1
74,2,492.66320008612263,1
211,2,596.4280998853632,1
173,2,114.71355045703524,1
137,2,728.4989728258041,1
200,1,210.52543795907314,3
223,1,154.07685882085042,3
149,1,243.96377290961635,3
225,1,465.7902808122875,3
245,1,437.2435208678962,3
210,1,835.0831582769333,3
222,1,854.806277792841,3
204,1,855.260829836256,3
199,1,837.6861625318,3
219,1,832.8699201424405,3
201,1,838.8291661607661,3
203,1,849.5030171157489,3
214,1,851.3288477424177,3
219,1,860.6933030903922,3
192,1,848.1491422316049,3
208,1,835.1419048892772,3
223,1,860.6436470245669,3
196,1,852.5434269570967,3
199,1,839.5910913132104,3
22,1,4.584627174445814,1
18,1,14.252483228640013,1
19,1,99.78094730532675,1
16,1,72.56485313762079,1
17,1,114.04098542401496,1
193,1,371.48840755880644,1
236,1,22.54368169065677,1
170,1,347.2538896465619,1
23,1,907.7417475073595,1
206,1,900.5662717315603,1
206,1,899.8493356171587,1
238,1,622.2478960222047,1
239,1,324.316818012475,1
94,1,349.6839820118809,1
202,1,855.7910394981425,1
234,1,907.5556859759556,1
239,1,910.9426676380527,1
198,1,21.756942476531215,1
164,1,118.93911601707987,1
370,1,255.48445195209698,3
373,1,184.30398117997134,3
322,1,132.40485078032566,3
324,1,184.19096378320447,3
321,1,174.10993745646238,3
331,1,844.8906972644673,3
316,1,641.3949412442754,3
319,1,648.8644761976371,3
372,1,676.6440571230703,3
373,1,664.5790732336523,3
316,1,843.1835087114689,3
317,1,863.5505596805724,3
368,1,697.1172592518851,3
265,2,88.55921362261262,3
291,2,263.1834832016701,3
382,2,158.42619430337817,3
321,2,251.24545680751044,3
322,2,422.33986277984013,3
331,2,346.58475932096235,3
361,2,35.54980710385502,3
298,2,32.49019047919256,3
258,2,48.72640095919638,3
318,1,1198.578362090477,3
368,1,1160.8596195182406,3
203,1,1260.9951906011524,3
205,1,1259.6723191284389,3
217,1,1194.011691394181,3
206,1,1215.2181995684598,3
212,1,1125.690707191394,3
192,1,1150.3917018624034,3
197,1,1137.9858337245696,3
97,2,475.13264463479555,3
86,2,230.05644456682666,3
70,2,380.21742602323974,3
93,2,344.1601974575082,3
124,2,651.0684903122412,3
131,2,78.83949496679078,3
50,2,655.874765921443,3
104,2,246.0823544317139,3
81,2,502.7930865487528,3
95,2,495.48484636402844,3
112,2,534.1473731291175,3
89,2,479.6939543100992,3
48,2,536.7654910841295,3
112,2,633.8370199459903,3
85,2,457.4680962249111,3
69,2,490.43122039224664,3
55,2,146.9310462812757,3
347,1,680.4572307824786,1
369,1,689.6283716199853,1
265,1,856.3656394535383,1
375,1,377.80622404172766,1
368,1,342.7738617803781,1
374,1,356.7585503808158,1
370,1,358.4599613883911,1
370,1,909.5803532112739,1
372,1,236.691441875925,1
374,1,662.0498680305271,1
368,1,668.5498589902259,1
153,1,1208.2657440709083,1
128,1,1218.148106860118,1
173,1,1502.7142683711613,1
170,1,1105.0112445254797,1
186,1,1028.9638916343256,1
175,1,1423.5121238409458,1
147,1,1283.0801544422388,1
226,1,1434.3805027104656,1
164,1,1313.2063630050557,1
82,2,1213.250802599808,3
101,2,1215.192650239908,3
103,2,1178.8971502186598,3
80,2,1174.6153790956976,3
130,2,1211.8740285360261,3
104,2,1205.7231255167087,3
86,2,1198.8968916722106,3
81,2,1197.7194103687361,3
