EF19,TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5
318,2,3
317,2,3
319,2,3
318,2,3
316,2,3
318,2,3
318,2,3
316,2,3
316,2,3
316,2,3
316,2,3
47,2,1
34,2,1
63,2,1
30,2,1
30,2,1
43,2,1
4,2,1
45,2,1
21,2,1
235,2,1
232,2,1
231,2,1
233,2,1
238,2,1
236,2,1
225,2,1
48,1,3
118,1,3
120,1,3
114,1,3
48,1,3
116,1,3
48,1,3
120,1,3
124,1,3
219,1,3
198,1,3
208,1,3
211,1,3
223,1,3
206,1,3
212,1,3
207,1,3
216,1,3
211,1,3
206,1,3
200,1,3
193,1,3
19,1,1
22,1,1
18,1,1
22,1,1
18,1,1
19,1,1
16,1,1
19,1,1
23,1,1
16,1,1
239,1,1
239,1,1
227,1,1
231,1,1
231,1,1
234,1,1
231,1,1
231,1,1
238,1,1
228,1,1
225,1,1
239,1,1
225,1,1
226,1,1
371,1,3
334,1,3
329,1,3
331,1,3
372,1,3
368,1,3
374,1,3
328,1,3
316,1,3
317,1,3
319,1,3
317,1,3
318,1,3
319,1,3
318,1,3
317,1,3
317,1,3
317,1,3
316,1,3
318,1,3
325,2,1
373,2,1
316,2,1
325,2,1
267,2,1
368,2,1
371,2,1
66,2,3
118,2,3
76,2,3
88,2,3
89,2,3
118,2,3
127,2,3
123,2,3
64,2,3
81,2,3
81,2,3
71,2,3
139,2,3
129,2,3
222,2,3
138,2,3
217,2,3
373,1,1
369,1,1
373,1,1
372,1,1
372,1,1
374,1,1
369,1,1
368,1,1
368,1,1
371,1,1
371,1,1
