EF14U2,EF12U2,TAETIGKEITSSCHLUESSEL4,B52
2018,1954,2,1111.0209669340848
2018,1953,2,1041.4510515835232
2018,1969,2,1325.4190548643192
2018,1983,2,1291.6588275603333
2018,1953,2,1509.9012051391496
2018,1972,2,150.94610825930926
2018,1980,2,399.18353776366035
2018,1971,2,69.674692912849
2018,1965,2,841.8166568442796
2018,1965,2,863.9141297152657
2018,1964,2,832.222929493505
2018,1973,2,552.2098524954972
2018,1974,2,516.4532338026031
2018,1971,2,596.7686432403203
2018,1970,2,638.4667621784965
2018,1964,2,610.719634006561
2018,1974,2,534.3313614114702
2018,1965,2,594.133468398815
2018,1965,2,627.9900668697117
2018,1964,1,160.30846662684112
2018,1964,1,172.5517580004547
2018,1965,1,161.0421178280394
2018,1972,1,400.5557340969696
2018,1972,1,240.77088778502048
2018,1970,1,323.3124270495556
2018,1971,1,320.81271046276333
2018,1965,1,239.30657452496277
2018,1970,1,77.14197761499202
2018,1964,1,371.07124785772663
2018,1965,1,87.61580835210661
2018,1971,1,92.89622570021231
2018,1976,1,480.7135691743888
2018,1964,1,849.7352456431271
2018,1970,1,614.8134415948961
2018,1965,1,663.9010455045545
2018,1976,1,905.6433492008042
2018,1964,1,846.4097864598114
2018,1965,1,663.3635733158161
2018,1964,1,650.0405914850577
2018,1970,1,843.6471148760123
2018,1970,1,854.0361335077438
2018,1972,1,526.7377576456383
2018,1970,1,633.0724750505927
2018,1965,1,912.3702565477713
2018,1965,1,853.151824878567
2018,1971,1,838.7552918719426
2018,1964,1,860.527712067742
2018,1997,1,565.5666345691092
2018,1990,1,847.1308948952279
2018,1996,1,858.2406512489788
2018,1989,1,547.4364383493684
2018,1988,1,517.3722415788096
2018,1989,1,846.359872231758
2018,1988,1,862.1580215455066
2018,1990,1,539.9193771021493
2018,1988,1,596.8153654694547
2018,1990,1,538.697181689407
2018,1995,1,849.0305344558934
2018,1990,1,528.2662095281347
2018,1999,1,548.7445455584977
2018,1990,1,0.6505736137933908
2018,1989,1,433.04799439471356
2018,1999,1,27.753988354693014
2018,1988,1,431.99292467107773
2018,1988,1,432.16421544621704
2018,1989,1,368.9586179962841
2018,1988,1,11.387736488938902
2018,1989,1,238.22918376191754
2018,2008,1,13.243020079709545
2018,1998,1,342.37329974235377
2018,2009,1,165.66290281321739
2018,1988,1,331.9669313205085
2018,2009,1,22.611693806934987
2018,2003,1,440.2546406204605
2018,1990,2,638.42622083581
2018,1990,2,845.7522739990069
2018,1999,2,606.6379423289036
2018,1999,2,636.9322469548619
2018,1998,2,536.2695800483987
2018,1989,2,568.1439555845102
2018,1998,2,664.5449602510895
2018,1989,2,546.2059612076564
2018,1989,2,82.37292184744769
2018,1996,2,76.8177000590707
2018,1988,2,388.8166775839704
2018,2008,2,173.13204735793505
2018,2003,2,436.31022819854536
2018,2002,2,244.96945265390877
2018,1989,2,2.564633493487623
2018,2009,2,111.49386442664098
2018,2008,2,99.43294910988126
2018,1990,2,126.8231454865143
2018,1988,2,232.36879125960263
2018,2009,2,385.50560202811545
2018,1989,2,19.181750462071932
2018,1997,2,441.7400707693374
2018,1989,2,437.80405681884065
2018,1988,2,121.71816538352519
2018,2009,2,121.67648757822177
2018,2014,1,1261.6158557906274
2018,2009,1,1214.6339370807711
2018,2008,1,1203.0711915574104
2018,2008,1,1139.77562814811
2018,2008,1,1149.8248999241903
2018,2009,1,1147.7756689314022
2018,2009,1,1120.2441655023006
2018,2012,1,1258.7283239469632
2018,2008,1,1249.659187998714
2018,1988,1,1151.9270495094343
2018,1988,1,1123.803176874113
2018,1990,1,1145.8026269435795
2018,1996,1,1147.6736206215232
2018,1999,1,1123.0577380907243
2018,1996,1,1150.9379295650433
2018,1998,1,1121.4827688373286
2018,1965,1,1269.3496172758237
2018,1964,1,1271.9984541391489
2018,1971,1,1160.8749880034923
2018,1977,1,1327.4682913289466
2018,1974,1,1184.9898571198228
2018,1976,1,1214.7407343934356
2018,1971,1,1188.8523486673669
2018,1965,1,1207.704612965771
2018,2004,2,1177.8616607172148
2018,1989,2,1163.6827180799655
2018,1989,2,1169.3779023928485
2018,1995,2,1144.0657819238809
2018,2008,2,1206.9943683010556
