EF21H,TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5
316.2967238580833,2,3
341.7552417335212,2,3
511.62165309494816,2,3
355.66967142671007,2,3
926.1881418173158,2,3
880.7286767225208,2,3
558.5133672367463,2,3
513.4115716031408,2,3
520.5962794120395,2,3
335.18353776366035,2,3
908.8264191511805,2,3
991.2287948590549,2,3
316.2842077867415,2,3
1119.9141297152657,2,3
1103.3957250026913,2,3
1103.1463441156106,2,3
1109.7291970243016,2,3
1090.2266169013017,2,3
1110.7655929008063,2,3
1098.5214292050816,2,3
1111.8709892452,2,3
2325.757072052488,2,3
2291.963772909616,2,3
2341.8897660657603,2,3
2518.7490828496143,2,3
2463.9205349576932,2,3
2097.3305324309335,2,3
1091.8816115153259,1,3
1100.1946116926374,1,3
1104.5210589140197,1,3
1227.3723250636,1,3
1296.147779029553,1,3
1097.5666122958355,1,3
1089.6562135247777,1,3
1105.503017115749,1,3
1112.6665774899466,1,3
1498.2456990907033,1,3
1332.567910459968,1,3
1248.2982844632097,1,3
1107.7503414839355,1,3
1119.0067855672974,1,3
1102.448112850106,1,3
1108.5434269570967,1,3
543.4861491621048,1,3
817.2083766140688,1,3
806.8134415948961,1,3
796.50496645728,1,3
528.1259171226125,1,3
514.509908062631,1,3
796.8195729196227,1,3
562.0409854240149,1,3
528.9264136601146,1,3
818.4415494906068,1,3
535.2942297520246,1,3
539.2538896465619,1,3
515.2811238858723,1,3
315.64485974592566,1,3
319.1340593813241,1,3
312.96233390428966,1,3
319.7356781104065,1,3
319.97598688512636,1,3
313.6888229679857,1,3
315.7104977514851,1,3
315.9008054410583,1,3
317.00832214019175,1,3
315.782723723807,1,3
315.73566690951316,1,3
319.08070014966876,1,3
314.47859977271963,1,3
312.6715301973512,1,3
319.87111298802427,1,3
1091.447778188094,1,1
1224.092559618346,1,1
1243.9193771021492,1,1
1272.1909637832046,1,1
1107.1672805359221,1,1
1110.6766584502275,1,1
1928.244275647147,1,1
1797.5797649771018,1,1
2000.1312111767306,1,1
1927.8119569595738,1,1
1797.2045889103472,1,1
1890.316292934609,1,1
560.5537915039857,1,1
534.0619146158825,1,1
559.9929246710777,1,1
569.1172592518851,1,1
544.4816161112818,1,1
529.8077008154097,1,1
534.7754729778778,1,1
531.8032742879222,1,1
518.5572358295876,1,1
545.3312291141694,1,1
534.3732997423538,1,1
555.3230949151202,1,1
772.8354654444036,1,1
789.0356882066093,1,1
813.2233876138699,1,1
774.0908001198995,1,1
793.6984483800557,1,1
772.1326801095844,1,1
795.5045479980139,1,1
793.990381202305,1,1
816.3925026010943,1,1
819.6639842363912,1,1
792.2695800483987,1,1
831.2181995684599,1,1
887.2576669480134,2,1
769.5119113260521,2,1
802.2059612076564,2,1
967.9433348982784,2,1
927.1170520271756,2,1
985.4697626434491,2,1
905.6333551679407,2,1
1016.4348520464795,2,1
982.7530685576211,2,1
818.8721478471189,2,1
809.9389053078175,2,1
782.8394949667908,2,1
815.4786813243235,2,1
800.0834099399383,2,1
1105.7164745549405,2,1
1115.3965432743764,2,1
1229.2411653485697,2,1
1217.533912828419,2,1
1088.7528010140577,2,1
1103.8469771550497,2,1
1102.603058306117,2,1
