EF41,TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5
53,2,3
53,2,3
52,2,3
52,2,3
52,2,3
50,2,3
50,2,3
58,2,3
59,2,3
59,2,3
59,2,3
59,2,3
59,2,3
59,2,3
59,2,3
60,2,3
60,2,3
60,2,3
60,2,3
61,2,3
61,2,3
61,2,3
51,2,2
51,2,2
51,2,2
50,2,2
51,2,2
51,2,2
50,2,2
51,2,2
51,2,2
50,2,2
49,2,2
49,2,2
49,2,2
52,2,2
53,2,2
53,2,2
53,2,2
52,2,2
52,2,2
53,2,2
53,2,2
53,2,2
53,2,2
62,2,2
62,2,2
62,2,2
63,2,2
62,2,2
62,2,2
60,2,2
62,2,2
62,2,2
60,2,2
60,2,2
60,2,2
59,2,2
59,2,2
59,2,2
59,2,2
58,2,2
59,2,2
59,2,2
59,2,2
34,2,2
35,2,2
32,2,2
34,2,2
34,2,2
34,2,2
34,2,2
34,2,2
39,2,2
38,2,2
38,2,2
39,2,2
38,2,2
39,2,2
47,2,2
47,2,2
47,2,2
47,2,2
47,2,2
44,2,2
46,2,2
47,2,2
47,2,2
40,2,2
41,2,2
40,2,2
40,2,2
40,2,2
41,2,2
40,2,2
35,2,3
35,2,3
32,2,3
32,2,3
35,2,3
35,2,3
37,2,3
39,2,3
39,2,3
37,2,3
39,2,3
39,2,3
39,2,3
44,2,3
46,2,3
46,2,3
44,2,3
44,2,3
44,2,3
53,2,1
52,2,1
53,2,1
52,2,1
52,2,1
49,2,1
49,2,1
49,2,1
50,2,1
49,2,1
49,2,1
49,2,1
50,2,1
50,2,1
58,2,1
58,2,1
58,2,1
58,2,1
58,2,1
58,2,1
58,2,1
58,2,1
58,2,1
35,2,1
35,2,1
35,2,1
35,2,1
35,2,1
35,2,1
35,2,1
35,2,1
34,2,1
34,2,1
35,2,1
44,2,1
46,2,1
40,2,1
22,2,2
21,2,2
20,2,2
22,2,2
20,2,2
20,2,2
18,2,2
19,2,2
17,2,2
16,2,2
16,2,2
16,2,2
16,2,2
18,2,2
18,2,2
30,2,2
30,2,2
31,2,2
30,2,2
31,2,2
31,2,2
30,2,2
29,2,2
30,2,2
30,2,2
20,2,3
20,2,3
21,2,3
21,2,3
21,2,3
21,2,3
21,2,3
