EF48,TAETIGKEITSSCHLUESSEL4,B52,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
953.4951956609199,1,1114.619631622632,1,4,2,101
2674.8502589083537,1,497.22945899119316,2,14,3,101
1286.8923739788233,2,217.68331431464662,5,16,4,101
2704.4004284687558,2,289.2364902847117,3,14,1,101
924.1664204739914,2,343.1079542435556,4,17,1,101
1829.6668617584126,2,1049.2085904381647,2,14,3,101
382.3199041755828,1,588.6931615843398,3,17,1,101
900.584997090989,1,385.4352310770581,4,14,1,101
920.8040977728732,1,1272.7523090440243,5,17,1,101
1294.2438957632605,2,135.04346875579202,6,14,4,101
1176.2102243181814,2,708.2565067066373,3,17,2,101
259.703753349276,1,259.23372660152296,3,14,3,101
307.2858707764566,2,444.00860085983055,2,17,3,101
143.15547070250008,2,643.8623003311884,3,14,1,101
1864.0301836449955,1,393.51297671828803,3,17,1,101
143.15547070250008,2,643.8623003311884,3,14,1,101
115.79825955129073,2,264.33101528741764,5,18,4,101
1509.7862420832325,2,806.9517646279352,6,14,4,101
1843.239427205252,2,670.3182988139097,2,18,3,101
790.0522456228282,1,857.4631074036816,5,15,4,101
646.4419154925457,1,871.4331397850598,4,18,3,101
1246.1956828062187,1,351.84177751469747,6,15,4,101
1203.0102651871932,2,135.12325187122872,5,18,1,101
1285.5345071960012,2,600.0839104157914,6,16,4,101
1825.0029360462643,2,1273.6528329568134,2,18,3,101
203.66609303588177,2,1276.3017190094697,6,16,1,101
1241.0436304375312,1,348.49800611154103,7,18,2,101
1808.2297790871962,1,1117.2627423145645,5,17,4,101
987.7355049550746,1,1286.6386711252067,7,18,2,101
1212.446754985423,1,1241.892817035286,1,17,2,101
624.8199213855917,1,276.7793236700592,4,19,1,101
1239.4309519396788,1,1228.743020643327,5,18,4,101
511.59573377214764,2,652.4496184819906,2,19,3,101
1367.6432937048764,1,135.05435129946937,1,18,2,101
1227.5412361378103,1,111.20922837126878,1,19,3,101
1532.1502086238584,1,1266.6350252171292,1,18,2,101
215.67635393629678,1,1447.363601932887,1,19,2,101
1327.4013189039397,1,398.92569342355944,5,18,4,101
1947.4936495051522,1,390.28709314406444,5,19,4,101
2191.49153207985,2,765.3438789380001,6,18,4,101
247.51932510359615,2,161.70615277403044,5,19,4,101
2191.49153207985,2,765.3438789380001,6,18,4,101
1530.358481587099,2,1271.8560648761738,1,19,3,101
1382.5090410801324,1,876.8307235663525,5,18,4,101
1059.1808451149595,1,584.8230979497738,3,19,2,101
758.1937359304416,1,863.0731879542853,5,18,4,101
307.9974169767047,2,893.0025755477579,5,20,3,101
1623.087566517547,1,1142.2759691804529,5,18,1,101
920.9876668772827,1,820.270309967512,5,20,3,101
1812.0137936134377,1,224.63704855570208,4,18,1,101
307.73631445129865,2,707.1145886655206,5,20,4,101
265.9344429858437,2,735.1207737178499,4,19,1,101
1409.8756106300466,2,292.90680824130675,2,20,3,101
1648.5285940528363,2,216.46896124667998,7,19,2,101
1984.089613325845,2,108.77045110514067,3,20,3,101
204.1621653732733,1,741.293029528225,7,20,2,101
1424.9063619847082,1,741.8226934662958,3,20,4,101
157.53711956024515,1,871.2654799124334,2,20,3,101
1324.7011129139203,2,1229.820286176445,4,20,1,101
1829.9045400164064,1,108.00020005573293,3,20,4,101
1149.1234236862367,1,944.5421112236245,5,20,3,101
401.9776882171438,1,411.2369387118366,2,20,3,101
238.7815116934706,1,392.09208802507754,3,20,3,101
769.1150952157645,1,275.36212037486797,4,20,1,101
91.26831448285812,1,737.9227611172715,5,20,3,101
95.9836982242245,2,739.3752109035984,5,20,3,101
272.0937664741534,2,330.42687600696115,2,20,3,101
2170.0570816048435,1,205.6637704424649,6,20,3,101
1061.903365346166,1,822.5111419862699,3,20,4,101
2054.0224114437797,2,812.7918662312932,2,20,1,101
1364.254243027972,2,131.538853805962,1,20,3,101
684.1779270549506,2,819.8994490339419,4,20,3,101
1824.365894027624,2,178.377659709621,5,20,3,101
805.7952292573592,1,243.60965383964106,5,20,4,101
1870.6049289068205,2,807.3247695073638,5,20,3,101
1986.1471945368726,1,562.789978027344,3,20,3,101
194.4548527268149,2,742.606296164305,7,20,2,101
1843.4868164510144,2,734.0898025472324,2,20,3,101
1316.0547036715018,1,172.34376526382027,4,20,3,101
770.3619339289664,2,1126.4860917177793,5,20,4,101
264.6909181156888,2,679.3143420667021,4,20,3,101
2287.254006171098,2,892.7267545379974,5,21,1,101
826.0742802089164,2,1314.3014649798913,6,20,2,101
334.0250029305536,2,989.5461679796846,3,21,4,101
1226.7624755497927,2,106.72352240119048,2,20,3,101
309.08466263717304,2,228.67939388273473,3,21,3,101
1686.1547625414853,2,83.54900880671174,5,20,3,101
694.8392750191972,2,1158.6266384322794,6,21,4,101
468.20411813844805,2,787.6156714374902,3,20,1,101
1016.8519829322194,2,967.5297026795047,7,21,4,101
1682.7274457345654,2,685.895304518122,1,21,2,101
1988.5649069976005,2,964.5342046453671,3,21,4,101
1144.7488537038037,2,1311.618579747667,5,21,3,101
2203.3187751899486,2,877.5377088032616,3,24,1,101
2214.6904794889833,2,1277.9464239754036,3,21,3,101
405.98211961449215,2,481.10109343916344,3,24,4,101
60.31815191146174,2,984.4077221842049,3,21,1,101
2202.853233192053,2,415.42273641962123,3,24,2,101
1846.5005358273315,2,861.3393475074741,6,21,3,101
1815.4658148785943,1,284.0174516778407,2,24,3,101
1776.792749211936,1,173.08997918602952,4,21,3,101
156.97576666539837,1,240.79892522457862,3,26,3,101
2088.086775426233,1,1107.4175122073593,3,21,2,101
1685.1845930635525,1,671.57007814381,1,26,2,101
405.9450986124841,1,483.77457349880694,7,22,2,101
1844.0233368126185,1,1125.357936889656,2,26,1,101
2187.346786041612,1,864.8524253000332,7,22,3,101
1680.9678594375753,2,685.3135650839953,4,29,3,101
1697.7511656922388,2,799.6710653545946,5,22,1,101
763.0325219225866,2,892.36973621914,5,29,1,101
1572.6223879876616,2,797.7426320594018,3,24,4,101
308.77053575358394,2,279.75100473366217,2,29,3,101
1046.9819568925084,2,1079.966406193357,2,24,3,101
2201.8282595088067,2,983.1431904127043,3,29,4,101
193.83209696717464,2,803.8017562275603,6,24,3,101
2252.8213887017864,2,350.1638557788892,6,29,2,101
2135.164577361163,2,877.116024692497,3,25,4,101
1512.1278894612478,2,408.6271846559302,5,30,4,101
1682.5678445450349,1,865.9775058302123,5,26,4,101
384.8297044915695,1,1275.092107238585,1,30,4,101
412.3206873409452,1,796.2940650758735,4,26,1,101
185.6481555609471,1,444.87149211436036,5,30,1,101
707.9004169425804,1,1273.9227812350834,4,26,3,101
1431.5410565559612,1,831.3960913991344,4,30,4,101
400.5227055241524,1,276.77876995017624,2,27,3,101
1158.5745261395996,2,80.25842556462273,6,30,2,101
1167.0704307998906,1,654.1092112084219,1,27,4,101
1821.085419710019,1,1158.1653169986494,1,30,4,101
1167.1794796751008,2,1157.2798928257519,1,27,4,101
1384.9140492088006,1,999.2897085949164,3,30,4,101
2783.186508246133,1,359.6741720184164,2,28,1,101
91.49357322215046,1,244.5776809058919,6,27,3,139
945.4426895463934,1,1315.3394497223314,6,28,3,101
