TAETIGKEITSSCHLUESSEL4,EF48
2,684.5839156164703
2,685.3597026083451
2,684.4503069710573
2,684.2726726809925
2,686.2293544641694
2,686.3548363661275
2,687.9897745362633
2,686.0910845903151
2,684.1432547945757
2,683.7961031651496
2,680.0882232251963
2,681.4341317662069
2,680.3284394037389
2,727.580017089844
2,727.580017089844
2,727.580017089844
2,727.580017089844
2,727.580017089844
2,727.580017089844
2,727.580017089844
2,727.580017089844
2,727.580017089844
2,727.580017089844
2,727.580017089844
2,727.580017089844
2,727.580017089844
2,727.580017089844
2,517.19216081008
2,517.2607146025408
2,527.6166905446241
2,513.5760343897208
2,520.6799085016403
2,522.8636232329573
2,517.5828403528675
2,521.184055189555
2,516.5333670997037
2,525.83533122225
2,524.9975167174279
2,519.553931154446
2,632.0771166567102
2,625.9408057576629
2,635.1379395001137
2,636.9716971211087
2,620.1302647285049
2,617.8222342633438
2,618.0694667621212
2,625.009236189347
2,600.3854438925102
2,595.1425334593677
2,592.8281067623889
2,602.1108196600101
2,592.2031776156908
2,604.3332887449733
2,599.6532872624814
2,852.0712623193575
2,835.285494403748
2,852.9506749608913
2,844.7678119644316
2,841.8751707419677
2,837.9039520880267
2,846.0524995906463
2,791.224056425053
2,789.8153891647983
2,792.1783922935972
2,791.8715372905261
2,792.8676228215635
2,789.9767657877464
2,793.703360398724
2,795.0662255791216
2,789.9752613761386
2,788.0314792806531
2,948.8216746004022
2,945.9212413058744
2,951.2048932299057
2,954.7739430640469
2,949.840893328954
2,948.2316034150286
2,905.2550739356323
2,904.6267457490812
2,906.9117787190031
2,905.5083785970744
2,909.5090333769359
2,904.410140485734
2,905.8422197057048
2,906.3995891217129
2,911.134059381324
2,910.888914823006
2,908.0925641369429
2,911.7356781104065
2,909.2879562196417
2,909.0264425457865
2,1011.3776459359714
2,1011.1455257726705
2,1022.263856033871
2,1015.8016108821166
2,973.3916586422773
2,989.4810244239989
2,983.565447447614
2,977.1399376212872
2,973.1203256244894
2,974.1614002993375
2,968.8591095873421
2,962.467688987046
2,961.3430603947024
2,970.3592075296827
2,967.1799361158791
2,177.7238890940469
2,191.07901077275326
2,185.603470437175
2,182.97984427553732
2,177.42397604084545
2,181.20384136736368
2,185.58364026796107
2,182.67429542235175
2,189.72039647231435
2,184.5152672279467
2,186.91170087939648
2,242.03327619101685
2,246.50410034927285
2,244.59306819481222
2,247.81148525704916
2,240.16264340344836
2,245.8746451163362
2,246.1309992993392
2,246.06922393799823
2,246.93849708867324
2,240.83942619097112
2,245.99911558388473
2,241.37732556821874
2,246.02052693077712
2,244.06020201391024
2,94.11982724953552
2,90.16331290619864
2,90.84693412223473
2,92.18396790683596
2,91.55729594047938
2,88.81965447869845
2,91.31075501992738
2,92.56137988611026
2,106.79666246779422
2,109.54426480601194
2,108.70786285165217
2,104.60443318055044
2,105.49586641506356
2,108.37105837931092
