TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5,EF41,EF10,EF40,EF16U2,EF48,LEISTUNGSGRUPPE
1,3,71,2,61,4,9.281975704910007,2
2,1,71,2,49,2,9.482573519974498,2
1,4,41,2,9,2,9.598356486851582,2
2,4,35,2,38,7,11.953531575492928,3
1,3,50,2,48,2,43.32926705494287,2
1,2,63,2,43,2,43.68130282386556,3
1,2,52,2,57,7,46.72550710235508,1
1,4,21,2,19,2,48.39390477894069,2
2,1,76,2,19,2,48.7205640483502,1
1,2,58,1,12,2,55.54470998184428,1
1,1,56,1,30,3,57.590875231035966,3
2,3,38,1,12,1,60.76781196443166,2
1,3,23,1,54,2,65.16453236991329,4
2,3,36,1,14,3,67.9357686452631,1
2,3,15,1,28,2,68.74706283428709,5
1,4,30,1,2,7,88.01112142037353,1
1,2,69,1,58,7,89.36979047151202,3
1,3,40,1,12,3,89.84221970570479,5
2,4,38,1,46,7,91.61202821252654,5
2,1,70,1,46,7,91.92002958720411,3
2,3,69,1,0,1,91.95549348564296,3
2,3,69,2,11,5,92.58890996432316,5
1,3,33,2,29,1,92.85168019936201,1
1,3,33,2,33,4,93.5331127895608,3
2,1,53,2,44,5,95.21477067294065,1
2,3,26,2,24,5,95.98338294151506,5
2,4,63,2,44,5,104.18820025351444,3
2,3,15,2,44,7,105.7093118353654,4
2,3,36,2,42,3,106.95197604401332,4
2,4,70,2,33,1,107.62032631513779,1
2,4,52,2,54,6,107.65076457652923,4
2,3,49,1,51,5,109.08208799964187,4
1,3,60,2,27,5,109.93483516554043,4
2,2,70,2,18,3,110.3500209857973,4
2,2,22,2,33,4,110.63771842411208,4
2,3,78,1,32,6,110.68824421215932,4
1,2,42,2,57,1,111.1340593813241,1
2,1,44,1,33,5,111.73567811040651,3
2,1,42,2,9,5,112.41014048573403,2
2,1,35,2,25,3,112.96062065293724,2
2,1,35,1,55,6,114.41083730020105,2
1,4,71,1,47,3,115.44394631896304,2
2,4,38,1,25,7,116.93758537098387,5
2,2,71,2,12,6,118.10916360449677,5
1,4,71,1,37,5,118.59477671519824,5
2,4,36,2,25,5,119.02624979532315,5
1,2,18,2,48,5,119.09117877857253,2
2,2,52,1,12,6,119.20956094727772,5
2,1,53,2,0,4,119.21750884616718,2
2,1,58,1,48,5,119.40176098506369,1
1,4,71,2,15,6,119.68564628431817,5
1,2,63,1,58,7,119.85289318581428,2
1,1,26,1,54,7,129.9177808123495,2
1,1,87,1,35,7,131.62714050587016,5
1,1,63,1,61,7,136.36879125960263,5
1,2,37,1,46,4,139.63077832959658,4
1,2,72,1,48,4,150.50611376518486,4
1,3,25,1,61,1,154.24458954993565,5
1,3,63,1,26,4,157.02853062866737,4
1,2,87,1,33,4,158.202259649652,4
1,3,14,1,33,2,159.58619798936851,2
1,2,87,1,33,2,176.52985519951164,5
1,1,87,2,53,4,177.17558678386493,4
2,1,87,2,39,2,177.50805281525,4
2,2,16,2,2,2,177.53178655308676,4
2,3,16,2,5,7,177.58442748108638,2
2,2,87,2,13,2,177.80970097224687,3
2,3,87,2,33,2,183.42801034069927,5
2,1,87,2,30,7,183.67509943308886,3
2,2,87,2,18,1,184.52259279038498,2
2,1,87,2,25,1,185.30074631243824,2
2,1,86,2,37,1,186.03026656747275,4
2,1,50,2,39,4,186.06072125475103,4
2,1,87,2,53,2,187.02766901269803,2
1,1,75,2,41,3,187.41842758476545,4
1,1,87,1,29,3,187.503572734452,2
1,2,16,1,48,3,187.60606466054278,4
1,2,87,1,42,3,187.7969787219822,5
1,3,87,1,9,3,189.35497796122752,1
1,2,87,1,33,6,189.72156007798992,2
1,1,40,1,58,4,189.777829646012,3
1,1,49,1,1,4,191.21596383347594,5
1,2,86,2,35,7,191.24982922623644,1
1,4,26,2,42,7,195.07443287379942,1
1,4,62,2,38,7,195.31029133714244,2
1,3,26,1,27,3,196.23008183806945,1
1,3,19,1,28,7,198.65084182561245,1
2,3,39,2,43,7,200.1783922935972,1
2,3,40,2,43,3,200.18512827388565,1
2,3,58,2,14,1,200.85823727747032,2
2,3,37,2,49,7,200.86762282156351,3
2,4,24,1,43,3,202.60334953501058,3
2,4,19,2,42,3,202.85245714782843,1
2,3,78,1,41,6,206.7468875643272,1
2,4,78,2,19,6,207.19458900944795,3
2,4,74,2,49,3,207.71901159172452,1
2,3,39,2,10,1,212.03147928065312,1
2,4,29,2,42,6,213.56674728384274,3
2,4,32,2,16,6,213.97526137613863,2
2,4,19,2,15,6,216.12943655956968,5
2,4,57,2,3,6,219.87346610666026,5
1,4,20,1,29,2,263.22171930144117,2
1,4,36,1,24,2,267.0180667538719,4
1,4,43,1,34,2,269.1203256244894,4
1,1,25,1,57,4,269.70568430541186,4
1,2,64,1,19,4,274.387499982589,4
1,2,64,1,35,2,277.3777315180583,2
1,1,14,1,56,2,280.2929578807515,3
1,1,67,1,34,4,280.46908315037393,3
1,1,67,1,30,7,282.5194192803584,4
1,2,64,1,58,7,306.07344970969984,3
1,1,81,2,57,5,306.39549497483137,3
1,1,64,2,56,2,306.74142220977177,3
1,4,64,2,57,4,307.29599713633354,4
1,4,83,2,21,5,307.8223476762626,4
2,4,62,2,18,7,308.27574515095705,5
2,1,62,2,44,5,308.41447709979354,2
2,4,40,2,44,5,309.0264425457865,4
2,1,40,2,44,5,309.2879562196417,4
2,1,64,2,44,5,309.47330967163043,5
2,1,64,2,45,4,309.70261388082685,3
2,4,60,2,6,5,309.81441673700334,1
2,4,80,2,27,6,310.05283515170083,4
2,4,60,2,46,6,311.01799444806375,1
2,4,64,2,23,4,311.4566934321713,4
2,2,63,1,25,5,329.60221250738385,5
2,1,62,2,34,4,329.94481575169846,4
2,4,62,2,56,5,330.29661523093097,3
2,1,89,2,56,5,330.79937500658053,1
2,1,63,2,23,5,331.0681200313862,3
2,1,80,2,20,3,331.36332153314873,5
1,1,26,2,20,3,331.8071929659413,4
2,2,47,2,57,1,332.42955479367106,3
2,4,20,2,23,5,332.7202722915389,5
2,2,18,1,20,1,333.22511398929674,1
2,1,87,1,33,3,333.2769566399481,3
1,1,47,1,19,7,335.08070014966876,4
1,2,63,2,61,7,335.46416342566636,1
1,2,20,2,11,3,344.4993136552493,1
1,4,89,2,11,1,345.1143138789011,1
2,2,37,2,10,1,345.2550739356322,2
2,2,42,1,57,1,345.5727628863352,4
1,3,29,2,18,5,345.8637465527716,4
2,3,15,2,25,3,346.02662725910454,4
1,3,20,2,33,3,347.91204807916114,5
1,3,20,1,11,7,351.7185851064196,5
1,3,67,1,22,5,376.99297334319436,2
2,3,90,1,11,1,378.666145358196,2
2,3,66,1,14,1,379.0142073793423,5
2,3,40,2,57,5,379.9008054410583,1
1,3,67,1,25,3,380.8453237355622,2
1,3,63,1,10,3,381.6502540691796,5
1,1,89,2,14,7,400.23393655086943,2
2,1,75,2,14,2,400.32567089464914,2
1,1,39,2,25,1,401.2534914981624,2
2,1,83,2,14,6,401.6480458246946,2
1,1,20,2,14,7,401.8028411140353,2
2,1,80,2,3,3,403.5437561050152,2
1,1,37,2,3,3,404.23160341502864,2
2,1,39,2,46,2,405.82355743800616,2
1,1,22,2,3,2,407.60132909602044,2
2,1,83,2,3,6,408.57250037746286,2
2,1,30,1,3,3,410.0641853115003,2
2,1,36,1,28,7,410.7739430640468,2
2,3,75,2,31,6,414.18487573630387,2
1,3,20,2,19,2,415.47589655169696,2
2,4,75,1,19,3,415.5826696002641,2
2,4,43,1,63,3,433.1399376212872,3
1,2,80,1,61,1,436.0114266407695,3
1,4,84,1,61,1,438.63394935518795,2
1,2,81,1,2,3,441.7604917017863,1
2,1,87,1,2,2,441.7947680429631,1
2,1,87,1,60,4,442.68551563453923,4
2,1,40,1,14,2,446.263856033871,1
2,2,80,1,63,2,448.0541794791792,1
2,3,49,1,19,2,449.2041693959926,4
2,2,50,1,19,2,449.2823167467438,2
2,2,45,1,19,2,451.3776459359713,5
2,1,49,1,2,2,453.0966170475452,5
2,2,35,1,2,6,453.840893328954,2
2,1,34,1,2,2,455.2048932299057,2
1,3,50,1,24,7,456.24617129439554,1
1,1,50,1,25,7,458.84413356970265,5
1,1,50,2,31,2,459.2830118394838,4
1,2,50,2,31,5,461.0775570496363,4
