EF48,TAETIGKEITSSCHLUESSEL4
682.1483619290416,2
681.5959986141555,2
684.2473325453086,2
687.9881766592172,2
686.8825394837847,2
685.7467849682848,2
680.9433794317911,2
683.5897361821555,2
684.129181881586,2
682.9070854522967,2
682.4179316875146,2
683.9297212084854,2
680.5372674632524,2
727.580017089844,2
727.580017089844,2
727.580017089844,2
727.580017089844,2
727.580017089844,2
727.580017089844,2
727.580017089844,2
727.580017089844,2
727.580017089844,2
727.580017089844,2
727.580017089844,2
727.580017089844,2
727.580017089844,2
727.580017089844,2
523.3827964504031,2
521.065056786558,2
518.578919936221,2
523.9354946226,2
516.8149018381516,2
514.6951949525937,2
519.6238679034255,2
524.1709006068824,2
526.555946275384,2
526.7109088390505,2
525.6638600271217,2
521.1259183578316,2
625.5415791384667,2
639.2141220830854,2
621.7015694482103,2
630.0973058463187,2
635.630414918128,2
617.927396645753,2
617.42154063295,2
637.9557655995803,2
592.4349600712202,2
596.7833061479178,2
595.4145830803831,2
597.8169847625878,2
600.7515085578744,2
603.0522468082966,2
601.6644238712089,2
845.6403561931689,2
846.3466515451961,2
848.4092008204389,2
840.0745711158024,2
856.1266235012755,2
833.5709524446386,2
847.5033927836487,2
798.3218235122835,2
786.2671825230974,2
794.2717134785483,2
787.9948104989726,2
787.7955456566052,2
796.3020941535173,2
786.2923135872229,2
788.7683829796308,2
791.12624161432,2
790.8461486698628,2
952.9452368263317,2
944.6274770156577,2
946.1412132844052,2
947.9611774825437,2
956.5102463560038,2
944.8547326901015,2
910.4360509448508,2
910.3051936863259,2
909.6359204226642,2
909.4880746925337,2
907.4067362058203,2
911.9890474627945,2
906.9354368768398,2
907.6448597459257,2
905.1415679328901,2
907.6209340699826,2
904.9623339042897,2
911.0840501748211,2
909.7809870027756,2
911.9759868851264,2
1009.0792045031187,2
1007.4994084896869,2
999.4209955029702,2
1013.4215227446361,2
987.8955197490712,2
970.0166442803835,2
981.7778429879778,2
991.0007104380887,2
983.4713338190263,2
963.3012261147452,2
970.8784712382657,2
964.9571995454393,2
973.73477900427,2
965.1354700066018,2
975.7422259760485,2
187.28224766031408,2
190.07599529499282,2
178.02313990458651,2
177.10121269508141,2
180.89371464266426,2
190.0477409458011,2
177.5941006552435,2
187.5274843641156,2
187.33832922511377,2
182.44534863223365,2
177.48720318067217,2
240.17436765553444,2
246.40636215257973,2
241.10805952470466,2
244.24412365498668,2
244.5805071403838,2
245.5419950758751,2
243.07238415420653,2
240.78519353516097,2
242.79587717786723,2
242.7577393269853,2
247.8876399201431,2
240.50747236206416,2
247.13965740648564,2
240.60359634302534,2
89.38373771285332,2
90.22596260192621,2
92.1122419250261,2
95.91427284205285,2
90.47540928599028,2
92.07629916199578,2
91.92571026261734,2
92.16640363927118,2
110.599060355935,2
108.74446145364715,2
109.41538686439003,2
110.6127350198901,2
104.55546573599773,2
106.62946102582616,2
104.50765922623738,2
104.14446150179991,2
104.76135001498744,2
109.54483527980412,2
109.82229526130963,2
104.51658501369805,2
105.10745243978006,2
106.89730986075224,2
107.24879765028813,2
43.38841678858344,2
53.83615956421947,2
60.91599605909779,2
58.502922848545246,2
55.31904370686345,2
63.80454989211498,2
58.41570199605381,2
41.4226767978485,2
48.377977831513014,2
63.19585093120162,2
498.8618971709381,2
504.9929168622848,2
497.04027882481233,2
502.7831611586989,2
507.18372033043113,2
499.02822228341336,2
499.0036822096349,2
511.05435650580995,2
462.92351807992674,2
454.04004936437707,2
460.7180369617797,2
450.7671225780603,2
451.5682375693596,2
451.7098737416977,2
436.798497711709,2
403.96869148036075,2
408.0208524849846,2
411.041177215857,2
408.80595283347793,2
413.6982716371882,2
415.91537201828777,2
411.8712115910071,2
400.38347820710476,2
405.5368432822794,2
412.70854402357077,2
407.9234885775248,2
376.0097477569457,2
379.09568638551616,2
376.0135511388179,2
383.22962749324876,2
381.25293922384486,2
377.1835120281139,2
329.46193128234864,2
333.30390254903085,2
335.0642914062023,2
330.36638078515944,2
333.7318981154623,2
330.6321442309762,2
335.1005421557124,2
330.7754433065623,2
328.58406950765976,2
333.38071311646155,2
335.9022868139657,2
335.22577800521594,2
304.72501295015223,2
306.84673272254724,2
310.8125286276982,2
308.594818797602,2
306.5349913942783,2
308.8074951735489,2
306.59976506298943,2
307.39508830281846,2
308.8059645922715,2
307.17286046898124,2
310.21038872014367,2
306.7562335038159,2
1360.1789064256782,2
1363.5687323737782,2
1345.5878266888778,2
1362.879152251108,2
1360.0330759832705,2
1347.0335641696893,2
1362.8226468354014,2
1387.7399552216498,2
1378.6459546025767,2
1384.6329003478554,2
1379.681949569275,2
1384.0387804033933,2
1385.4757387509733,2
1382.2423769350148,2
1377.2498227327083,2
1380.04812741316,2
1340.3362066270577,2
1340.8243907097021,2
1316.5133635809038,2
1321.037698843908,2
1337.1978809754285,2
1343.312700649952,2
1298.6245682607937,2
1303.8990812799884,2
1299.5374657873485,2
1299.3621437773324,2
1300.1731390408536,2
1298.8269223869622,2
1425.4894315836982,2
1431.4842535670032,2
1428.0977716734385,2
1430.7153906895885,2
1429.6708079891005,2
1429.8621114590264,2
1428.3632989177372,2
1429.714926296092,2
1427.3933789111334,2
1431.2305809896636,2
1531.8704683404505,2
1504.0517625094512,2
1516.533430916073,2
1529.641898662109,2
1518.9223556960442,2
1535.5834019529339,2
1506.205554084668,2
1515.1208112623901,2
1511.226905714422,2
1495.1792160014659,2
1495.3153426786032,2
1488.1470364176805,2
1495.1269360685885,2
1494.5920173972434,2
1490.0921457998963,2
1496.8963755628838,2
1498.186425328853,2
1498.2569379363808,2
1144.1321472378982,2
1149.1356532837929,2
1147.6934910759674,2
1144.0752696955528,2
1150.821322469818,2
1150.978539960758,2
1151.943906925975,2
1151.05668421462,2
1057.3461144328498,2
1059.2489177607126,2
1058.6823204029388,2
1056.719959669964,2
1056.2732926273175,2
1062.7705813072118,2
1058.0778901514666,2
1059.6498409824917,2
1059.3823401639813,2
1057.5261622590417,2
1060.8644177801975,2
1063.8046371541843,2
1062.7879496544974,2
1061.8800182466666,2
1025.7390883924884,2
1026.2505506599505,2
1050.4074952126186,2
1038.684169170061,2
1052.2293082101005,2
1055.2686127266895,2
1048.6092560605366,2
1196.224507508779,2
1185.1296222804635,2
1184.0622523577133,2
1195.821510111376,2
1190.6628127274885,2
1194.4107122433609,2
1199.4377541136394,2
1193.8538946845038,2
1156.3412144968472,2
1154.3276690265618,2
1154.9298940247795,2
