EF21,TAETIGKEITSSCHLUESSEL4,B52
29833,2,1206.3839944566223
10936,2,1172.4503069710572
29951,2,1261.7650789675695
12858,2,1038.3548363661275
30840,2,1279.179472364311
17454,2,1072.2865095891514
64416,2,1194.4179316875147
55341,2,1205.7365270648272
55571,2,1201.4518089287467
62411,2,1079.9663446237619
61850,2,1147.703657590668
64487,2,1141.227082105535
60488,2,1194.4114438795873
61434,2,1144.60538113037
127468,2,1334.6081917523338
104338,2,1333.0262315619373
105181,2,1328.8961996129456
114759,2,1343.1091686083657
115416,2,1342.2662641966394
117409,2,1335.8083452723122
102139,2,1341.203725459538
126039,2,1038.7159058082393
125903,2,1039.0427251517206
99479,2,1130.266683549852
100186,2,1134.8319300135609
114303,2,1059.776965577223
102794,2,1119.8035305207713
102896,2,1118.7844848750285
113420,2,1133.815207459064
117793,2,1041.8222342633437
86379,2,1159.488941399895
116865,2,1260.192721946255
117348,2,1257.7072915401916
116841,2,1261.055409830005
126048,2,1099.0522468082966
107914,2,1157.9133218156203
69329,2,1159.586662886299
103241,2,1117.237668740223
99337,2,1044.0633117506377
99568,2,1037.4759880220067
85984,2,1039.5804558780708
184782,2,1074.9076945823992
182853,2,1073.9974052494863
177135,2,1096.8676228215636
194086,2,1090.292313587223
182708,2,1045.5331127895608
182048,2,1043.4230743349315
176644,2,1074.4108373002011
178256,2,1217.0706066422026
177050,2,1038.6934857660117
161345,2,1256.4273663450508
163086,2,1273.2550739356323
163623,2,1277.6359204226642
184692,2,1073.5083785970744
131944,2,1143.9945237313973
131176,2,1140.9211098528524
160677,2,1292.570783966445
132898,2,1334.888914823006
139756,2,1351.0840501748212
143224,2,1349.2879562196417
143347,2,1340.2698011257796
154032,2,1314.3931907215838
165338,2,1301.4215227446361
254950,2,1230.6958293211387
255234,2,1226.8889214939888
259016,2,1233.1399376212871
259004,2,1203.3012261147453
231188,2,1260.429554793671
230010,2,1262.867389502135
213335,2,1098.3592075296829
217022,2,1099.2822476603142
207068,2,1063.5395053863767
211202,2,1089.1012126950814
211837,2,1089.4239760408454
222982,2,1036.398525163811
197834,2,1141.668573855588
198059,2,1141.6113371580584
259137,2,1038.727925219849
258092,2,1039.2031810762899
251521,2,1052.5930681948123
255038,2,1076.5805071403838
253993,2,1077.8746451163363
254738,2,1072.785193535161
13064,2,502.9384970886733
17089,2,423.8876399201431
17919,2,486.3443313920547
13201,2,336.60359634302534
26654,2,414.1198272495355
23097,2,340.11224192502607
12652,2,362.091983953418
25843,2,412.0762991619958
114792,2,374.6215100398548
115221,2,350.599060355935
115045,2,349.54426480601194
115381,2,350.61273501989007
114765,2,345.4958664150636
127312,2,360.2538296131187
127699,2,363.3492546600464
127073,2,362.7724176399021
127387,2,363.9016388022381
127042,2,360.55372621989005
127416,2,383.80964542144
127391,2,374.7768335771669
127750,2,383.2330617387155
127802,2,378.50292284854527
127364,2,379.30050813835925
127987,2,378.4157019960538
127720,2,374.1362400627724
114712,2,335.59792546560084
115235,2,332.41447709979354
115263,2,328.5201394124062
55793,2,153.60221250738383
47919,2,216.37852778542666
45364,2,216.63707713094314
38790,2,247.46175903996337
38252,2,246.53877852481816
61019,2,145.38356128903015
60734,2,148.12308564719777
59866,2,146.3992488558545
60911,2,157.93673305333013
60418,2,157.5205886079285
47323,2,155.77235499092214
48562,2,159.95768600914388
45903,2,154.09219781490066
59441,2,242.7684216411397
59440,2,247.4017609850637
68598,2,56.00974775694575
66470,2,23.60875442308359
77830,2,31.229627493248778
77497,2,83.32926705494286
127127,2,225.46193128234864
85965,2,31.209560947277723
127880,2,114.36638078515946
74599,2,217.79872612583432
79171,2,175.10054215571242
114961,2,206.3838989446763
65685,2,61.380713116461536
89404,2,162.71655467512738
127900,2,224.72501295015223
99562,2,238.94391723285054
87760,2,164.59481879760196
86031,2,160.5859911306561
154830,2,242.5997650629894
154448,2,240.4147969996785
148787,2,243.17286046898124
148990,2,242.78335736321537
160449,2,240.17890642567824
148760,2,30.45065673589488
165067,2,74.87915225110794
173803,2,246.37463358805098
176904,2,242.82264683540146
140253,2,31.734482391260826
165202,2,105.26580069571062
164911,2,109.9506541921326
148484,2,106.95147750194666
198878,2,389.9996135347872
198815,2,388.04812741316
201271,2,485.15467529812383
203987,2,484.564170447613
205869,2,460.12373213997785
208025,2,503.656350324976
208855,2,500.50696280742125
198630,2,484.88436644683713
198382,2,485.7407691551804
197676,2,498.8269223869622
197435,2,503.9820255892065
208763,2,396.0977716734386
241061,2,484.54305944977654
234923,2,421.8621114590263
235012,2,419.22900849868256
234935,2,484.84834472778334
235116,2,484.0766009599477
202685,2,124.01294062736278
201021,2,76.32614069076892
211364,2,31.461177848022068
226493,2,116.75754522061166
213556,2,117.56040563119511
211245,2,81.87217198576693
223021,2,31.315342678603113
197276,2,62.87284741513837
241096,2,166.59201739724332
237456,2,173.49702689076219
258277,2,242.18642532885295
259322,2,246.88353378151194
241731,2,173.13565328379295
251368,2,159.73003666441136
249875,2,166.82132246981803
254611,2,232.69271950516247
255985,2,239.05668421461988
254566,2,234.65839258021958
189247,2,338.68232040293884
184606,2,362.32170493614285
184354,2,334.7705813072119
182780,2,349.51231208784145
169804,2,292.84558504099533
184358,2,334.4204251751524
154845,2,293.9511592885461
155429,2,425.21685461418764
161249,2,444.4347720981221
173017,2,365.065895367697
173364,2,367.67104229251527
170037,2,388.74567694437513
178082,2,376.6092560605365
169696,2,444.9573760443965
184392,2,364.0155630894283
148782,2,370.80976810000396
172884,2,349.20535612168044
89217,2,518.3199609163446
93421,2,538.1706072484236
89495,2,529.5260826078086
78574,2,586.949934383836
85172,2,624.0295089183069
66461,2,514.6383445117579
125636,2,766.2644775741824
92823,2,536.5857991020792
112691,2,601.6223009287903
115549,2,531.6266365162836
67553,2,515.3748687904784
86812,2,706.9863197941944
86229,2,611.5622347121003
85938,2,626.1096713981643
119128,2,546.6940385072289
17203,2,767.8920402143168
18120,2,765.1205556296123
12905,2,709.438543291411
13054,2,722.7079507624014
18031,2,709.9049358366441
8170,2,766.9013622075689
4289,2,765.2255922506016
29773,2,550.6656847945155
29778,2,572.5943832591136
29756,2,529.1424820054735
29762,2,530.9614383630753
29217,2,574.2683336022877
29635,2,529.6751718469069
29865,2,528.5947285299837
51133,2,529.6015776489174
36115,2,562.789978027344
37815,2,529.0819121760637
46267,2,531.1970069470359
49455,2,584.5098250016115
29913,2,878.4136838900388
17113,2,836.4697617412975
17676,2,892.5249975458823
29849,2,893.7712299598654
29916,2,892.7118316550097
5960,2,893.1030653145684
12565,2,892.0733512506854
12740,2,892.2086569643366
13272,2,844.6394825116286
13186,2,847.028963789375
13140,2,860.4410103513708
29698,2,878.5663656897343
29187,2,893.9328748854058
29468,2,892.2335892095015
113652,2,893.2427542064027
126463,2,843.2347354401917
116908,2,893.7546007884214
117594,2,892.8025843388737
99075,2,820.6002421169184
115424,2,892.9371439365104
112853,2,784.5662197288299
129263,2,860.0111471571097
119613,2,814.0302809654117
107978,2,811.0076296737695
125479,2,907.8640394579105
92729,2,774.6445721825457
127837,2,929.8727208982153
254790,2,810.1534315742988
231874,2,779.9466739629133
230957,2,782.0212269008352
229387,2,772.7883186734981
249943,2,828.7425827891643
244096,2,774.8643287321725
242961,2,776.1615982668793
251728,2,835.5787194315598
240865,2,774.9079285924732
240697,2,770.0842311262975
240857,2,966.0754390264068
245000,2,904.2155520625072
244133,2,907.49574750987
230801,2,923.840126744592
235267,2,915.2829834976015
234165,2,913.8309981084773
159882,2,909.404757675868
148824,2,967.5950563728578
148506,2,909.1209313807224
148515,2,918.9366428497387
140143,2,997.3888170537915
153965,2,984.3267389678788
184900,2,920.4078423507069
192827,2,983.1656761438229
148938,2,814.4652998988689
148481,2,808.4367673778045
184516,2,877.7412303573648
142501,2,812.0293847325161
165607,2,877.1881735110512
192798,2,910.1244606388966
168566,2,841.971646569994
162918,2,868.9189556383169
163607,2,864.779366741713
161719,2,912.9378719679725
165471,2,820.6164268943812
241105,2,602.6057196198935
204559,2,562.789978027344
206742,2,562.789978027344
251504,2,558.9562467915719
236230,2,512.7204640295337
242756,2,514.9104304984498
258848,2,530.4787059725628
235636,2,600.8749931640832
250691,2,624.2829494382534
250888,2,562.789978027344
148880,2,766.9753640814606
154995,2,676.2542503578562
147378,2,679.8704387328905
146807,2,710.0183567488476
140901,2,765.9876691404004
131830,2,673.953287679727
132774,2,691.9880475600027
148932,2,624.140809955297
182009,2,704.6590618647249
140579,2,548.8400864774098
148720,2,710.1373175925629
153866,2,673.6521019181774
139669,2,670.8313552282016
161309,2,767.9542758683075
153796,2,764.0984761947352
333671,2,493.26019284660293
352023,2,472.1294365595697
336310,2,484.1858140464948
341667,2,413.57469561067484
336198,2,394.3740987711586
332541,2,499.8006645480102
332556,2,499.7135950928833
336154,2,496.9014205570176
387052,2,499.24357433025136
340969,2,293.9296462766049
390320,2,447.0289792792651
373660,2,500.7202722915389
341356,2,410.31965769648485
378036,2,389.22511398929674
347364,2,422.64289530974423
340942,2,415.64555702123533
344866,2,331.8397776900393
346640,2,293.7132105381765
373851,2,500.03933080139007
389832,2,124.23972260154369
373055,2,105.73745300439437
372738,2,109.30167476750529
386450,2,24.850486139292563
386318,2,25.537216436899715
351932,2,145.55389985841506
351468,2,147.46207518788336
336760,2,203.65805268971846
336395,2,200.9898399272921
334122,2,165.8792082379685
335242,2,161.9456718632014
351070,2,201.69321769499317
351866,2,205.87646385214856
331861,2,204.35266695221497
334925,2,205.23478952752973
335667,2,144.4062944783338
265626,2,293.06502545606867
279536,2,367.56876230863946
279521,2,364.02314722559555
275309,2,360.1077498158608
287479,2,292.0722530410534
287604,2,293.0651244462627
266058,2,429.8996193633445
288954,2,388.9256133476744
289478,2,384.6447313780071
265479,2,391.09144133792483
292218,2,391.97285913763534
291743,2,391.25840355162734
291792,2,445.3600673564366
282393,2,391.4803920803891
282259,2,391.8128026970306
265351,2,391.69771133837634
266075,2,397.6054865957499
287693,2,29.70318256532898
291171,2,105.42165713680988
281667,2,94.28753993594809
282597,2,89.7093118353654
274764,2,21.694862344722015
283839,2,106.02662725910454
275460,2,30.85094570565447
323106,2,85.87916336530353
323778,2,77.62913162673607
311159,2,29.555723329583856
282454,2,112.5969357641161
317946,2,68.06898983151122
273742,2,245.10332872903365
287513,2,125.29269759658627
323234,2,243.69268428541466
323247,2,167.7758153870025
