EF41,TAETIGKEITSSCHLUESSEL4,B52
49,2,1037.5959986141556
49,2,1128.9006139421147
52,2,1061.7650789675695
51,2,1132.709672732255
50,2,1079.179472364311
62,2,1192.1432547945756
57,2,1241.6717267500585
58,2,1258.8682635324137
58,2,1233.4518089287467
58,2,1247.9326892475235
60,2,1157.851828795334
63,2,1250.4541642110698
63,2,1228.8228877591746
62,2,1072.60538113037
62,2,1039.304095876167
62,2,1038.5131157809685
62,2,1056.8961996129456
62,2,1078.2183372167317
62,2,1038.2662641966394
62,2,1039.904172636156
62,2,1074.4074509190757
62,2,1038.7159058082393
62,2,1039.0427251517206
62,2,1074.266683549852
63,2,1039.4159650067804
62,2,1037.8884827886116
63,2,1079.6070610415427
50,2,1261.5689697500568
50,2,1261.815207459064
53,2,1192.911117131672
52,2,1262.9778827997902
53,2,1348.192721946255
49,2,1314.4268228850478
52,2,1294.5277049150025
39,2,1133.5261234041482
34,2,1141.9133218156203
39,2,1135.173325772598
34,2,1146.4753374804457
34,2,1148.0633117506377
39,2,1141.4759880220067
32,2,1151.1609117561418
35,2,1130.9076945823992
39,2,1140.9987026247431
37,2,1142.216905705391
47,2,1073.1461567936115
35,2,1149.5331127895608
47,2,1094.846148669863
35,2,1236.821674600402
35,2,1234.1412132844052
35,2,1229.3869715320234
32,2,1072.4273663450508
44,2,1090.5101478712645
41,2,1243.2718408453284
37,2,1156.7541892985373
43,2,1195.9945237313973
35,2,1105.8422197057048
39,2,1129.14156793289
39,2,1134.888914823006
16,2,1335.0840501748212
16,2,1333.2879562196417
16,2,1292.2698011257796
21,2,1340.7863814431676
21,2,1341.355380686159
22,2,1334.6958293211387
21,2,1346.8889214939888
18,2,1192.284984405322
18,2,1156.8253065286863
18,2,1158.2147773968354
18,2,1159.4336947510674
19,2,1158.5898018824207
19,2,1158.8205619150785
18,2,1263.5395053863767
18,2,1256.5506063475407
20,2,1201.4239760408454
20,2,1201.5941006552434
16,2,1117.668573855588
16,2,1117.6113371580584
16,2,1118.727925219849
19,2,1119.2031810762899
19,2,1132.5930681948123
19,2,1132.5805071403838
19,2,1133.8746451163363
18,2,1128.785193535161
18,2,1134.9384970886733
19,2,1135.887639920143
20,2,1073.3773255682188
20,2,1072.6035963430254
20,2,1078.1198272495355
20,2,1096.2244838500521
20,2,1096.367935813672
53,2,362.03814958099787
53,2,361.65537750996367
50,2,293.64976508898377
50,2,366.77213240300597
50,2,367.30636750994506
51,2,292.3739666037659
51,2,292.12691480655934
53,2,334.6985093200929
52,2,341.54483527980415
52,2,343.80327760447625
51,2,292.276863109945
51,2,293.97620567768
61,2,475.10733430866753
63,2,508.93224695486185
63,2,490.01169139418096
61,2,493.20203255343694
63,2,489.66280798421525
58,2,395.0681200313862
58,2,399.59792546560084
58,2,396.41447709979354
58,2,408.5201394124062
58,2,409.60221250738385
58,2,393.5141111417067
58,2,394.54830852377256
58,2,399.46175903996334
58,2,398.53877852481816
43,2,105.38356128903015
46,2,60.123085647197755
41,2,125.19962442792725
32,2,61.93673305333012
46,2,77.52058860792847
40,2,27.77235499092214
40,2,151.95768600914388
33,2,130.09219781490066
44,2,114.76842164113968
35,2,63.40176098506369
40,2,24.009747756945753
39,2,127.60875442308358
44,2,127.61481374662439
46,2,203.32926705494287
43,2,241.46193128234864
37,2,19.60478047363886
44,2,146.36638078515946
39,2,247.19490450333728
37,2,23.550271077856205
32,2,414.38389894467633
33,2,429.38071311646155
33,2,426.7165546751274
39,2,444.3625064750761
39,2,447.47195861642524
32,2,428.594818797602
32,2,424.5859911306561
35,2,469.1995301259788
35,2,464.829593999357
37,2,427.17286046898124
37,2,426.7833573632154
32,2,456.17890642567824
32,2,462.4506567358949
39,2,484.719788062777
39,2,485.59365839701275
33,2,469.6452936708029
53,2,87.73448239126083
53,2,105.26580069571062
52,2,85.9506541921326
52,2,82.95147750194666
52,2,109.99961353478722
53,2,70.02406370658
53,2,84.61870119249531
53,2,82.25668179045188
53,2,108.12373213997785
54,2,95.65635032497599
59,2,172.50696280742127
49,2,131.53746578734862
51,2,86.96307662072138
53,2,106.8269223869622
63,2,23.991012794603243
52,2,148.09777167343861
58,2,202.17223779910606
51,2,173.86211145902632
52,2,125.61450424934127
49,2,243.39337891113345
58,2,80.30640383979087
20,2,368.0517625094511
20,2,366.1630703453845
19,2,343.4611778480221
19,2,265.18938630515294
18,2,283.12081126239025
31,2,371.74434397153385
31,2,335.3153426786031
28,2,285.7456948302767
31,2,259.2960086986217
29,2,333.4970268907622
30,2,361.09321266442646
31,2,285.7670675630239
28,2,366.5678266418965
28,2,367.8650183322057
25,2,259.410661234909
16,2,424.6927195051625
19,2,495.5283421073099
20,2,469.31678516043917
20,2,458.68232040293884
19,2,428.64340987228564
21,2,166.7705813072119
21,2,245.51231208784142
16,2,147.38234016398138
21,2,166.42042517515242
18,2,231.80463715418438
19,2,161.21685461418764
19,2,160.86954419624416
22,2,125.065895367697
22,2,127.6710422925153
19,2,60.74567694437515
20,2,108.30462803026826
22,2,113.91475208879298
19,2,56.031126178856695
18,2,20.702442025000995
22,2,93.20535612168047
22,2,94.31996091634456
19,2,58.17060724842356
18,2,59.052165215617116
26,2,242.94993438383597
26,2,240.05901783661366
25,2,242.63834451175782
27,2,204.52895514836464
26,2,200.58579910207928
26,2,201.62230092879028
15,2,259.62663651628367
15,2,292.84371719761964
15,2,292.7465799485486
15,2,257.7811173560502
15,2,293.05483569908216
15,2,373.3880770144579
15,2,293.9460201071584
15,2,361.12055562961234
32,2,725.438543291411
32,2,730.7079507624014
34,2,709.9049358366441
