EF48,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
7.989620997945064,1,39,2,aa,8,3,3,101
14.895472254570326,1,77,2,aa,32,2,2,464
19.297875513825254,1,69,2,aa,49,2,4,339
25.03677809399654,2,69,2,aa,40,3,3,634
40.01318835381892,1,75,2,aa,19,4,4,101
40.0135511388179,2,52,2,aa,32,2,3,101
40.15079749467428,2,70,2,aa,38,2,2,101
41.984345740180366,2,63,1,aa,51,3,1,101
42.97503970647966,1,70,1,aa,41,7,3,471
43.30563076396788,1,70,1,aa,35,2,2,101
47.22962749324878,1,50,1,aa,25,1,2,451
47.55202600380056,1,75,1,aa,14,2,2,470
52.348686568743865,1,76,1,aa,57,2,3,101
55.28971949185133,1,40,1,aa,51,2,3,448
56.07457111580243,1,36,1,aa,41,7,4,451
59.04117721585695,2,58,1,aa,54,7,1,349
60.70854402357078,2,56,1,aa,15,2,4,469
62.12858281240463,2,55,1,aa,15,2,1,471
62.168100349642174,2,41,1,aa,24,7,1,101
64.85048613929256,1,24,2,aa,17,7,1,625
64.96233390428968,1,41,2,aa,36,7,2,101
65.13359126154872,1,39,2,aa,36,3,4,187
67.12705487957884,1,69,2,aa,51,4,3,101
68.89223667055548,1,23,2,aa,51,4,4,101
69.2876169683399,2,24,2,aa,51,7,3,459
70.28753993594809,2,15,2,aa,6,1,1,146
71.75169639182437,2,36,2,aa,6,7,3,770
88.33451872904051,2,71,2,aa,47,6,2,770
88.40091638032541,2,26,2,aa,52,5,1,101
89.24804897601184,2,30,2,aa,56,5,3,782
91.38972468944402,2,15,2,aa,33,1,4,782
91.42307433493143,2,35,2,aa,5,5,3,101
93.1413075868293,2,74,1,aa,41,4,3,457
93.25293922384483,2,53,2,aa,47,6,3,101
93.44914416598552,2,74,2,aa,47,5,3,460
94.1510470767586,1,34,1,aa,32,7,3,458
95.71087471757984,2,71,1,aa,32,6,3,458
104.19173910355238,2,63,1,aa,28,6,4,101
105.14615679361145,1,32,2,aa,56,5,2,101
106.93543687683989,2,43,2,aa,60,6,1,101
107.42894067782387,2,22,2,aa,35,7,4,101
108.2630565742912,2,14,1,aa,19,5,1,159
109.30390254903082,2,49,2,aa,3,1,1,101
109.93560579550356,2,63,1,aa,36,5,4,136
111.9890474627945,2,41,2,aa,26,5,4,321
112.00974775694576,2,53,1,aa,44,3,4,269
112.78547622231929,2,36,1,aa,59,5,4,101
