LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL4,B52
4,2,1094.3839944566223
4,2,1089.801227884229
4,2,1109.7650789675695
4,2,1097.41934546451
4,2,1111.179472364311
4,2,1104.2865095891514
4,2,1060.8358633750292
4,2,1074.8682635324137
4,2,1056.7259044643733
4,2,1079.9663446237619
4,2,1059.703657590668
4,2,1058.4541642110698
4,2,1060.8228877591746
4,2,1036.302690565185
4,2,1213.2163835046676
4,2,1158.5131157809685
4,2,1156.4480998064728
4,2,1230.2183372167317
4,2,1209.065056786558
4,2,1215.6166905446241
4,2,1250.4074509190757
4,2,1277.4318116164786
4,2,1262.0854503034411
4,2,1330.266683549852
4,2,1315.7079825033902
4,2,1331.776965577223
4,2,1335.6070610415427
4,2,1342.7844848750285
4,2,1333.815207459064
4,2,1329.8222342633437
4,2,1334.9778827997902
5,2,1304.3854438925102
5,2,1314.4268228850478
5,2,1315.2638524575013
5,2,1307.0522468082966
5,2,1107.8266436312406
5,2,1151.173325772598
5,2,1130.4753374804457
5,2,1148.0633117506377
5,2,1130.9519760440132
5,2,1135.1609117561418
5,2,1037.4538472911995
5,2,1057.9974052494863
5,2,1060.4338114107818
5,2,1036.5730783968056
5,2,1038.7665563947803
5,2,1037.7115371674656
5,2,1037.2054186501005
5,2,1192.5353033211013
5,2,1158.6934857660117
5,2,1192.2136831725254
5,2,1156.627536967816
5,2,1194.817960211332
5,2,1172.7541892985373
1,2,351.9890474627945
1,2,337.8422197057048
1,2,329.14156793289004
1,2,334.888914823006
1,2,363.54202508741054
1,2,362.64397810982086
1,2,328.53960225155936
1,2,329.5727628863352
1,2,361.35538068615904
1,2,342.69582932113866
1,2,498.8889214939889
1,2,496.5699688106436
1,2,497.6506130573726
1,2,500.42955479367106
1,2,502.867389502135
1,2,501.1796037648414
1,2,501.641123830157
1,2,503.5395053863766
1,2,496.5506063475407
1,2,496.7119880204227
1,2,496.7970503276218
1,2,499.3371477111759
1,2,499.2226743161168
1,2,245.45585043969825
1,2,174.40636215257973
1,2,244.59306819481222
1,2,156.5805071403838
1,2,205.8746451163362
1,2,240.78519353516097
1,2,179.46924854433664
1,2,175.8876399201431
1,2,44.688662784109376
1,2,56.60359634302534
1,2,62.11982724953551
1,2,28.112241925026094
1,2,46.09198395341798
1,2,60.07629916199578
1,2,59.310755019927385
1,2,94.599060355935
1,2,85.54426480601194
1,2,94.6127350198901
1,2,89.49586641506356
1,2,88.50765922623738
2,2,342.6985093200929
2,2,349.54483527980415
2,2,343.80327760447625
2,2,337.10745243978005
2,2,343.90482271072
2,2,347.38841678858347
2,2,383.2330617387155
2,2,341.25146142427263
2,2,379.30050813835925
2,2,378.4157019960538
2,2,459.0681200313862
2,2,463.59792546560084
2,2,472.82895419958714
2,2,465.04027882481233
2,2,484.400553126846
2,2,484.3785277854267
2,2,458.54830852377256
2,2,487.86543975999086
2,2,487.6346946312045
2,2,457.3835612890301
2,2,460.12308564719774
2,2,484.5998122139636
2,2,485.4841832633325
3,2,29.520588607928474
3,2,27.77235499092214
3,2,23.97884300457194
3,2,26.09219781490066
3,2,26.768421641139685
3,2,31.401760985063692
3,2,124.00487387847288
3,2,119.21750884616718
3,2,127.61481374662439
3,2,115.32926705494286
3,2,113.46193128234864
3,2,127.60478047363885
3,2,125.18319039257973
3,2,127.59745225166864
3,2,159.10054215571242
3,2,150.3838989446763
3,2,157.38071311646155
3,2,154.71655467512738
3,2,152.72501295015223
3,2,150.94391723285054
3,2,244.59481879760196
3,2,240.5859911306561
3,2,242.5997650629894
3,2,160.4147969996785
3,2,203.17286046898124
3,2,242.78335736321537
3,2,152.17890642567824
3,2,158.45065673589488
3,2,330.87915225110794
3,2,334.374633588051
3,2,330.8226468354015
3,2,335.7344823912608
3,2,329.2658006957106
3,2,333.9506541921326
3,2,330.95147750194667
3,2,265.4999033836968
3,2,280.09625482632
3,2,281.2374023849906
3,2,264.564170447613
3,2,280.2474642799557
3,2,287.312700649952
3,2,281.01392561484255
3,2,264.88436644683713
3,2,422.9630766207214
3,2,410.8269223869622
3,2,503.9820255892065
3,2,500.0977716734386
3,2,498.1722377991061
3,2,446.93105572951316
3,2,419.22900849868256
3,2,445.69668945556674
2,2,124.15320191989544
2,2,112.02588125472558
2,2,116.32614069076892
2,2,119.46117784802206
2,2,116.75754522061166
2,2,126.78020281559756
2,2,124.93608599288346
2,2,127.65767133930156
2,2,127.43642370756918
2,2,110.59201739724331
1,2,626.7485134453811
1,2,554.1864253288529
1,2,614.8835337815119
1,2,605.135653283793
1,2,575.7300366644114
1,2,558.821322469818
1,2,608.6927195051625
1,2,627.52834210731
1,2,610.6583925802196
1,2,730.6823204029388
1,2,732.6434098722857
1,2,734.770581307212
1,2,725.5123120878415
1,2,723.3823401639813
1,2,734.4204251751524
1,2,735.8046371541844
1,2,721.2168546141876
1,2,720.8695441962442
1,2,722.131790735394
1,2,727.3420845850305
1,2,873.4913538887503
1,2,872.6092560605365
1,2,867.8295041775859
1,2,864.0622523577134
1,2,866.809768100004
1,2,874.4107122433609
1,2,876.6399218326891
1,2,981.0853036242117
1,2,981.5260826078086
1,2,981.474967191918
1,2,980.0295089183069
1,2,965.3191722558789
1,2,932.5289551483646
1,2,928.5857991020792
1,2,947.2446018575806
1,2,991.2532730325673
1,2,987.3748687904784
1,2,986.9863197941944
2,2,835.5622347121003
2,2,836.2193427963288
2,2,834.6940385072289
2,2,839.7840804286336
2,2,858.2411112592247
2,2,861.438543291411
2,2,858.7079507624014
2,2,861.9049358366441
2,2,909.8027244151378
2,2,906.4511845012031
2,2,926.6656847945155
2,2,924.5943832591136
2,2,906.2849640109472
2,2,909.9228767261505
2,2,918.2683336022877
2,2,931.3503436938137
2,2,921.1894570599674
2,2,995.2031552978348
2,2,995.839738638744
2,2,653.0819121760637
2,2,655.1970069470359
2,2,720.5098250016115
2,2,708.8273677800777
2,2,724.4697617412975
2,2,765.0499950917647
2,2,727.0849198394617
2,2,562.789978027344
2,2,572.4122612582739
2,2,552.2934050027417
2,2,600.8346278573464
2,2,624.6394825116286
2,2,574.0579275787501
2,2,612.4410103513708
2,2,573.1327313794686
3,2,519.7314995416233
3,2,512.9343568380059
3,2,516.9710168256107
3,2,518.4694708803835
3,2,615.0184031536854
3,2,587.2103373554946
3,2,626.3001210584592
3,2,587.7485757460416
3,2,648.5662197288299
3,2,650.0055735785548
3,2,651.0151404827059
3,2,641.5038148368848
3,2,641.9320197289553
3,2,653.6611430456364
3,2,652.9363604491076
3,2,721.2274525943905
3,2,751.7866958516531
3,2,760.0849076033409
3,2,723.1532746939924
3,2,741.940662313315
3,2,731.4573149286897
3,2,812.0807991334397
3,2,835.5787194315598
3,2,819.4539642962367
3,2,844.5210577815743
3,2,828.1508780528135
3,2,856.2155520625072
3,2,877.747873754935
3,2,877.920063372296
3,2,981.6414917488007
3,2,980.9154990542386
3,2,989.404757675868
3,2,991.1901127457156
3,2,982.5604656903612
3,2,983.4683214248694
3,2,982.6944085268958
4,2,80.32673896787874
4,2,104.40784235070694
4,2,110.33135228764576
4,2,86.4652998988689
4,2,88.4367673778045
4,2,125.74123035736481
4,2,22.01469236625801
4,2,202.37634702210252
4,2,246.1244606388966
4,2,203.9432931399881
4,2,217.22973890957923
4,2,240.779366741713
4,2,200.9378719679724
4,2,204.61642689438116
4,2,162.6057196198935
4,2,160.93888008919188
4,2,178.1112812084068
4,2,217.73906169789296
4,2,200.72046402953367
4,2,202.91043049844987
4,2,172.95741194512564
4,2,384.87499316408326
4,2,408.5658988765067
4,2,386.61967720510916
4,2,389.95072816292117
4,2,386.1271251789281
4,2,395.93521936644527
4,2,398.0183567488476
4,2,395.9753382808007
4,2,392.9766438398635
4,2,411.98804756000266
4,2,408.281619910594
4,2,408.65906186472483
4,2,293.21002161935246
4,2,293.53432939814076
4,2,292.20651273977217
4,2,307.32542091280624
4,2,293.97713793415375
5,2,486.0492380973676
5,2,484.6300964233015
5,2,485.0161795699462
5,2,492.37162809298957
5,2,482.78734780533745
5,2,481.18704938557926
5,2,481.9003322740051
5,2,486.9283987732208
5,2,264.2253551392544
5,2,278.48714866050267
5,2,287.43717021283925
5,2,293.51448963963253
5,2,265.18006807288475
5,2,264.5799144241212
5,2,366.61255699464834
5,2,367.32144765487214
5,2,159.64555702123533
5,2,203.83977769003928
5,2,150.85284215270593
5,2,60.039330801390065
5,2,104.47944520308738
5,2,124.86872650219718
5,2,22.650837383752645
5,2,44.42524306964628
5,2,89.53721643689971
5,2,89.55389985841506
5,2,115.46207518788334
5,2,27.658052689718456
5,2,20.494919963646048
5,2,126.93960411898425
4,2,892.4864179658003
4,2,876.8466088474966
4,2,878.9382319260743
4,2,878.1763334761075
4,2,878.6173947637649
4,2,876.2031472391669
4,2,878.1300509121373
