EF41,TAETIGKEITSSCHLUESSEL4
53,2
53,2
53,2
53,2
53,2
53,2
53,2
53,2
53,2
53,2
53,2
53,2
52,2
52,2
52,2
52,2
52,2
52,2
52,2
52,2
52,2
52,2
52,2
52,2
52,2
51,2
51,2
51,2
51,2
51,2
51,2
51,2
51,2
51,2
51,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
49,2
49,2
49,2
49,2
49,2
49,2
49,2
49,2
49,2
49,2
49,2
56,2
57,2
56,2
57,2
56,2
56,2
56,2
57,2
57,2
56,2
56,2
56,2
56,2
56,2
59,2
59,2
59,2
59,2
59,2
59,2
59,2
59,2
59,2
58,2
58,2
58,2
58,2
58,2
58,2
58,2
58,2
58,2
58,2
58,2
63,2
63,2
63,2
63,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
60,2
60,2
60,2
60,2
60,2
60,2
60,2
60,2
60,2
60,2
60,2
60,2
60,2
61,2
61,2
61,2
61,2
61,2
61,2
37,2
37,2
37,2
37,2
37,2
37,2
37,2
37,2
37,2
37,2
39,2
39,2
39,2
39,2
39,2
39,2
39,2
39,2
39,2
34,2
34,2
34,2
34,2
34,2
34,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
32,2
43,2
42,2
42,2
43,2
42,2
40,2
40,2
40,2
40,2
40,2
40,2
41,2
40,2
44,2
44,2
44,2
44,2
44,2
44,2
44,2
44,2
44,2
46,2
46,2
46,2
46,2
47,2
47,2
47,2
47,2
47,2
47,2
47,2
47,2
47,2
47,2
22,2
22,2
22,2
22,2
23,2
23,2
23,2
22,2
21,2
21,2
21,2
21,2
21,2
21,2
21,2
21,2
21,2
21,2
21,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
16,2
18,2
18,2
18,2
18,2
18,2
18,2
18,2
18,2
18,2
18,2
18,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
28,2
28,2
28,2
28,2
28,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
30,2
31,2
