EF19,TAETIGKEITSSCHLUESSEL4
335,2
334,2
334,2
331,2
330,2
329,2
326,2
327,2
326,2
327,2
327,2
327,2
326,2
326,2
321,2
326,2
326,2
338,2
338,2
338,2
337,2
337,2
339,2
338,2
338,2
336,2
338,2
338,2
350,2
349,2
347,2
346,2
376,2
377,2
379,2
379,2
379,2
371,2
371,2
370,2
371,2
371,2
370,2
371,2
370,2
370,2
371,2
370,2
370,2
370,2
370,2
360,2
360,2
360,2
360,2
363,2
360,2
360,2
366,2
364,2
367,2
367,2
364,2
366,2
352,2
352,2
355,2
352,2
353,2
353,2
353,2
354,2
352,2
352,2
352,2
355,2
352,2
305,2
305,2
305,2
309,2
310,2
311,2
308,2
310,2
304,2
314,2
314,2
315,2
315,2
315,2
319,2
319,2
319,2
319,2
319,2
319,2
319,2
319,2
300,2
300,2
300,2
300,2
299,2
297,2
300,2
300,2
300,2
296,2
296,2
289,2
291,2
288,2
290,2
290,2
289,2
288,2
288,2
291,2
288,2
278,2
278,2
278,2
278,2
278,2
278,2
278,2
273,2
272,2
273,2
272,2
272,2
272,2
273,2
273,2
281,2
282,2
281,2
282,2
283,2
269,2
271,2
271,2
268,2
268,2
270,2
268,2
266,2
266,2
266,2
266,2
266,2
266,2
266,2
263,2
263,2
263,2
263,2
263,2
263,2
263,2
256,2
256,2
257,2
256,2
257,2
256,2
390,2
391,2
384,2
390,2
385,2
391,2
390,2
391,2
390,2
390,2
395,2
395,2
395,2
395,2
395,2
116,2
116,2
116,2
116,2
116,2
116,2
116,2
116,2
116,2
126,2
126,2
125,2
125,2
124,2
124,2
125,2
125,2
120,2
121,2
120,2
121,2
120,2
120,2
125,2
99,2
99,2
98,2
98,2
99,2
99,2
98,2
102,2
101,2
101,2
102,2
101,2
111,2
109,2
108,2
109,2
108,2
109,2
108,2
109,2
87,2
87,2
87,2
87,2
87,2
87,2
87,2
81,2
82,2
82,2
81,2
81,2
82,2
82,2
81,2
82,2
92,2
92,2
92,2
92,2
92,2
92,2
92,2
79,2
78,2
79,2
78,2
78,2
78,2
78,2
77,2
79,2
77,2
66,2
67,2
66,2
67,2
67,2
66,2
67,2
66,2
67,2
67,2
66,2
61,2
61,2
