EF19,TAETIGKEITSSCHLUESSEL4,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
8,2,2,18,1,56
278,2,2,14,1,101
213,2,2,14,1,101
249,1,4,14,1,101
87,2,2,14,1,101
184,2,7,14,3,101
335,2,2,14,1,101
335,2,2,14,1,101
377,2,7,14,1,101
217,1,7,14,1,101
328,1,7,15,1,101
87,2,2,14,3,101
183,2,4,16,1,101
226,2,7,15,3,101
346,1,3,16,3,101
201,1,7,15,3,101
78,2,6,17,3,101
183,2,3,16,1,101
278,1,4,17,1,101
335,1,2,16,1,101
354,1,7,17,2,101
181,1,3,17,1,101
216,2,2,18,1,101
111,1,2,17,1,101
216,1,5,18,1,101
206,2,5,17,1,101
102,2,6,18,2,101
239,1,6,18,3,101
305,1,7,18,2,101
183,1,4,18,4,101
236,1,6,18,3,101
278,1,3,18,2,101
226,1,5,18,2,101
5,1,4,18,3,101
216,2,5,18,3,101
249,1,2,18,3,101
314,1,6,18,3,101
334,2,5,18,2,101
247,1,7,19,2,101
249,2,2,18,3,101
321,2,5,19,3,101
357,2,7,18,4,101
208,1,5,19,3,101
195,2,2,18,3,101
180,1,7,20,4,101
379,2,3,19,2,101
242,1,6,20,4,101
212,1,7,19,4,101
114,1,6,20,4,101
201,2,7,19,4,101
278,1,3,20,3,101
248,1,4,20,1,101
97,1,7,20,2,101
183,2,2,20,3,101
213,1,3,20,4,101
216,1,2,20,3,101
217,2,5,20,3,101
321,2,5,20,2,101
175,1,2,20,3,101
248,2,4,20,4,101
43,1,3,20,3,101
38,1,5,20,3,101
116,1,2,20,4,101
242,1,5,20,2,101
183,2,2,21,4,101
343,2,3,20,3,101
43,2,5,21,3,101
22,2,2,20,1,101
195,2,7,21,3,101
299,1,3,20,3,101
300,2,3,21,4,101
87,2,7,20,3,101
278,2,3,21,2,101
195,1,2,20,3,101
278,2,3,21,3,101
278,2,3,20,3,101
183,2,3,21,3,101
36,2,5,20,4,101
180,2,3,21,1,101
292,1,3,21,1,101
40,2,3,21,1,101
273,2,3,21,1,101
326,2,6,22,1,101
38,2,5,21,4,101
366,1,3,24,1,101
48,2,4,21,2,101
82,2,3,24,1,101
56,2,1,21,4,101
