TAETIGKEITSSCHLUESSEL4,EF21
2,22826
2,23224
2,16614
2,16523
2,17525
2,29846
2,29951
2,29829
2,29705
2,29938
2,29701
2,29787
2,29226
2,29305
2,29693
2,29229
2,29564
2,29341
2,29655
2,29694
2,4405
2,4124
2,6034
2,6669
2,1143
2,142
2,7279
2,664
2,5442
2,1998
2,12388
2,12843
2,12983
2,12645
2,12875
2,12578
2,13173
2,13119
2,12771
2,12804
2,12412
2,13000
2,13118
2,12816
2,36073
2,36104
2,35904
2,37937
2,37266
2,36969
2,38158
2,35853
2,42538
2,47015
2,41481
2,45897
2,62707
2,61026
2,60656
2,60147
2,61190
2,60316
2,62928
2,56342
2,56303
2,56431
2,56061
2,50394
2,52616
2,49916
2,49668
2,51817
2,49397
2,52122
2,52579
2,51947
2,98845
2,98625
2,98464
2,99049
2,98690
2,99714
2,98408
2,98775
2,98918
2,100130
2,100067
2,99351
2,100284
2,107858
2,113926
2,113072
2,107620
2,107976
2,107769
2,127833
2,127838
2,127460
2,127048
2,127815
2,127882
2,127542
2,127133
2,125099
2,126253
2,125847
2,125148
2,126858
2,126157
2,125821
2,125110
2,125594
2,115301
2,115115
2,115566
2,115232
2,115386
2,114948
2,115520
2,115275
2,118735
2,65577
2,69087
2,69153
2,69137
2,69360
2,67798
2,69119
2,67936
2,67077
2,68623
2,67102
2,76329
2,76504
2,76847
2,76686
2,78243
2,79519
2,80159
2,79255
2,80662
2,80234
2,86170
2,86398
2,87134
2,87463
2,89516
2,89538
2,89293
2,88013
2,87092
2,89308
2,96231
2,95188
2,95756
2,94109
2,95596
2,94984
2,93606
2,96004
2,95696
2,94993
2,159606
2,160838
2,160874
2,160331
2,160241
2,160154
2,160308
2,159898
2,160396
2,161188
2,148827
2,148898
2,148598
2,148815
2,148743
2,148521
2,148859
2,148859
2,148715
2,148763
2,141195
2,143284
2,140111
2,145943
2,147265
2,139360
2,147302
2,141719
2,146342
2,142959
2,132359
2,132793
2,131924
2,132918
2,133019
2,132917
2,132373
2,169678
2,171619
2,171944
2,169031
2,171204
2,169718
2,165496
2,165211
2,165818
2,165493
2,177905
2,177582
2,176143
2,176278
2,176814
2,176976
2,176234
2,176383
2,178171
2,176840
2,176371
2,177250
2,177779
2,176392
2,194283
2,190047
2,192707
2,193006
2,194492
2,193673
2,188510
2,189939
2,189782
2,184542
2,185087
2,184852
2,184461
2,184911
2,184814
2,184854
2,184847
2,250733
2,251863
2,251009
2,251035
2,251630
2,251638
2,250701
2,250683
2,255995
2,254325
2,259735
2,258604
2,259599
2,255492
2,254778
2,259807
2,255596
2,254030
2,258174
2,233630
2,234579
2,235527
2,233850
2,230593
2,230676
2,229677
2,229855
2,230358
2,230044
2,231135
2,231289
2,241124
2,240991
2,240727
2,240958
2,241080
2,240945
2,241018
2,241134
2,240816
2,240804
2,240684
2,240919
2,240793
2,240810
2,227049
2,226590
2,226898
2,227283
2,226943
2,227009
2,226876
2,221260
2,224053
2,223863
2,224146
2,223387
2,223848
2,223724
2,221729
2,216838
2,215093
2,215421
2,215233
2,214752
2,207338
2,211586
2,206009
2,205159
2,206711
2,207367
2,208465
2,207008
2,198237
2,197389
2,198129
2,201426
2,200734
2,203332
2,202121
2,203022
2,202355
2,200807
2,201534
2,203850
2,335750
2,331135
2,329182
2,328534
2,331327
2,335114
2,340656
2,340657
2,344060
2,341704
2,340541
2,339992
2,343548
2,340661
2,336820
2,336890
2,336614
2,336712
2,336182
2,336725
2,351904
2,350688
2,350792
2,351605
2,350343
2,351812
2,351534
2,351564
2,344673
2,344272
2,345164
2,346029
2,345278
2,345275
2,358297
2,358322
2,358323
2,354727
2,358201
2,358211
2,353331
2,378041
2,378592
2,377560
2,378027
2,377387
2,376907
2,390591
2,391088
2,389447
2,390027
2,390825
2,390256
2,390045
2,389135
2,387037
2,386259
2,386554
2,386684
2,386098
2,364888
2,368137
2,367236
2,366086
2,361625
2,362358
2,360661
2,360737
2,360688
2,362106
2,361991
2,360804
2,360999
2,373725
2,374267
2,374459
2,373215
2,374430
2,373636
2,374265
2,374098
2,372747
2,373348
2,373205
2,373952
2,322999
2,322870
2,323496
2,323018
2,322813
2,322674
2,311362
2,311607
2,311713
2,311309
2,311514
2,311652
2,311541
2,311569
2,311469
2,311413
2,311739
2,311640
2,311756
2,311564
2,311331
2,311739
2,311281
2,310454
2,310313
2,310712
2,310429
2,311082
2,311071
2,310275
2,299231
2,296644
2,296530
2,301071
2,301180
2,295198
2,296479
2,295750
2,295117
2,265845
2,265425
2,266203
2,265336
2,265957
2,266146
2,265549
2,266152
2,266187
2,265756
2,265264
2,265571
2,265308
2,265294
2,265616
2,275701
2,275780
2,275267
2,274576
2,275834
2,276034
2,275955
2,276213
2,282546
2,281583
2,280902
2,278937
2,279036
2,280613
2,282278
2,281596
2,282356
2,281468
2,280744
2,291934
2,291779
2,292387
2,291987
2,291018
2,291667
2,287579
2,288305
2,287244
2,287603
2,287685
2,287492
2,288330
2,287656
