EF21,TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5
29833,2,3
29783,2,3
24569,2,3
23669,2,3
29756,2,3
12823,2,3
1488,2,3
45,2,3
12425,2,3
485,2,3
12390,2,3
56819,2,3
60488,2,3
53242,2,3
56281,2,3
46994,2,3
47837,2,3
59534,2,3
47969,2,3
46402,2,3
29886,2,2
29461,2,2
29427,2,2
29842,2,2
29931,2,2
29903,2,2
29233,2,2
29727,2,2
29793,2,2
29828,2,2
59755,2,2
36993,2,2
49764,2,2
49257,2,2
37984,2,2
52778,2,2
50897,2,2
49572,2,2
37897,2,2
38128,2,2
122625,2,2
118386,2,2
119947,2,2
118718,2,2
120986,2,2
119656,2,2
118336,2,2
116752,2,2
115009,2,2
118376,2,2
121093,2,2
116854,2,2
121144,2,2
86761,2,2
85428,2,2
85044,2,2
89321,2,2
87842,2,2
86262,2,2
87996,2,2
88057,2,2
86448,2,2
86965,2,2
89337,2,2
75010,2,3
95176,2,3
89327,2,3
96020,2,3
94842,2,3
92331,2,3
96223,2,3
94428,2,3
89152,2,3
125821,2,3
119683,2,3
99530,2,3
126379,2,3
99393,2,3
176172,2,1
177793,2,1
177214,2,1
168019,2,1
176914,2,1
173585,2,1
169347,2,1
171007,2,1
173859,2,1
135229,2,1
133351,2,1
133987,2,1
133606,2,1
131911,2,1
135338,2,1
160459,2,1
161130,2,1
159898,2,1
158369,2,1
161191,2,1
157890,2,1
160566,2,1
157828,2,1
160624,2,1
160575,2,1
259596,2,1
259701,2,1
231812,2,1
260070,2,1
255440,2,1
240652,2,1
250950,2,1
243966,2,1
226552,2,1
206231,2,1
211098,2,1
224195,2,1
215768,2,1
216247,2,1
226975,2,1
12525,2,1
13047,2,1
12801,2,1
1133,2,1
7602,2,1
4943,2,1
49,2,1
48,2,1
1014,2,1
934,2,1
3,2,1
13148,2,1
51502,2,1
51099,2,1
50960,2,1
52071,2,1
49825,2,1
94755,2,1
94357,2,1
95473,2,1
94009,2,1
95466,2,1
95952,2,1
98319,2,1
101991,2,1
99152,2,1
99534,2,1
100347,2,1
107696,2,1
99426,2,1
127179,2,1
127861,2,1
127364,2,1
127223,2,1
127314,2,1
127023,2,1
126985,2,1
127198,2,1
153919,2,3
145691,2,3
147049,2,3
146477,2,3
148774,2,3
148981,2,3
165875,2,3
165751,2,3
165398,2,3
165277,2,3
165821,2,3
165707,2,3
165589,2,3
165634,2,3
165595,2,3
165686,2,3
165359,2,3
188574,2,2
188836,2,2
188794,2,2
188698,2,2
176429,2,2
190253,2,2
176796,2,2
190240,2,2
173968,2,2
176357,2,2
148798,2,2
157729,2,2
161256,2,2
148484,2,2
158355,2,2
161777,2,2
148633,2,2
236351,2,2
229948,2,2
233541,2,2
234750,2,2
236454,2,2
229452,2,2
230621,2,2
231205,2,2
198113,2,2
199148,2,2
197940,2,2
197658,2,2
199633,2,2
199096,2,2
226376,2,2
223836,2,2
223658,2,2
226563,2,2
226934,2,2
227118,2,2
223419,2,2
223412,2,2
254877,2,3
258756,2,3
254615,2,3
249907,2,3
259771,2,3
260065,2,3
236316,2,3
231530,2,3
241113,2,3
240812,2,3
240844,2,3
241074,2,3
240948,2,3
232190,2,3
235119,2,3
204778,2,3
200897,2,3
201945,2,3
197269,2,3
201664,2,3
201772,2,3
213262,2,3
227206,2,3
226982,2,3
204667,2,3
214092,2,3
214894,2,3
197213,2,3
55599,2,4
52940,2,4
51929,2,4
56588,2,4
42188,2,4
38624,2,4
37796,2,4
49707,2,4
56200,2,4
57264,2,4
57093,2,4
48467,2,4
40976,2,4
4126,2,4
6368,2,4
1012,2,4
1535,2,4
172,2,4
12717,2,4
12673,2,4
127712,2,4
127082,2,4
127095,2,4
127805,2,4
127893,2,4
127251,2,4
127260,2,4
127837,2,4
99142,2,4
113540,2,4
99885,2,4
107522,2,4
112727,2,4
113856,2,4
98952,2,4
67408,2,4
74631,2,4
73957,2,4
74596,2,4
81160,2,4
80293,2,4
80675,2,4
67331,2,4
79211,2,4
78101,2,4
80578,2,4
78039,2,4
155789,2,4
160183,2,4
160109,2,4
148770,2,4
148558,2,4
148938,2,4
159750,2,4
160137,2,4
155218,2,4
170909,2,4
165007,2,4
165021,2,4
168346,2,4
165655,2,4
171886,2,4
170366,2,4
177989,2,4
185283,2,4
171820,2,4
231024,2,4
231779,2,4
231697,2,4
231824,2,4
231482,2,4
231841,2,4
240898,2,4
251458,2,4
251251,2,4
260018,2,4
230775,2,4
234290,2,4
234230,2,4
227155,2,4
206608,2,4
223678,2,4
223560,2,4
223713,2,4
223365,2,4
357938,2,1
351773,2,1
350404,2,1
358262,2,1
358341,2,1
351085,2,1
358312,2,1
381581,2,1
382143,2,1
382147,2,1
381492,2,1
378840,2,1
377833,2,1
382128,2,1
381852,2,1
367320,2,1
366952,2,1
374386,2,1
373710,2,1
365346,2,1
367120,2,1
361563,2,1
373448,2,1
288335,2,1
287232,2,1
287433,2,1
287367,2,1
287663,2,1
287547,2,1
287676,2,1
287493,2,1
288658,2,1
