TAETIGKEITSSCHLUESSEL4,EF21,B52
2,12437,1193.5959986141556
2,4349,1192.4503069710572
2,24855,1194.8825394837847
2,56190,1052.709672732255
2,31230,1039.5897361821555
2,35873,1156.1432547945756
2,7983,1158.4179316875147
2,29947,1037.4341317662067
2,29717,1036.3629522321867
2,6852,1175.983172311881
2,45419,1131.703657590668
2,47764,1130.4541642110698
2,48825,1132.8228877591746
2,36138,1089.21076226074
2,98318,1295.304095876167
2,115284,1294.5131157809685
2,115259,1292.4480998064728
2,119335,1295.1091686083657
2,119116,1294.2662641966394
2,115109,1295.904172636156
2,125129,1330.4074509190757
2,114860,1045.4318116164786
2,99018,1078.0854503034411
2,126791,1092.5333670997038
2,126698,1101.6638600271217
2,99472,1147.776965577223
2,113673,1135.6070610415427
2,114099,1133.5689697500568
2,114300,1149.815207459064
2,86509,1036.911117131672
2,89220,1262.9778827997902
2,112695,1148.192721946255
2,89188,1273.7072915401916
2,89274,1277.055409830005
2,124954,1038.763061702074
2,101994,1037.9133218156203
2,114948,1119.586662886299
2,92212,1193.237668740223
2,102193,1038.0316558753188
2,67785,1258.9519760440132
2,126726,1159.5804558780708
2,168516,1130.9076945823992
2,193558,1073.9974052494863
2,181195,1060.4338114107818
2,165246,1129.1461567936115
2,165169,1061.5331127895608
2,165246,1059.4230743349315
2,177272,1157.2054186501005
2,164986,1249.0706066422026
2,172539,1242.7739430640468
2,176875,1088.8547326901014
2,194159,1249.2550739356323
2,192672,1253.6359204226642
2,165566,1192.7541892985373
2,132482,1079.9890474627946
2,131823,1073.8422197057048
2,160358,1329.14156793289
2,141117,1334.888914823006
2,137263,1343.5420250874106
2,138127,1342.6439781098209
2,141837,1292.2698011257796
2,143231,1329.572762886335
2,148936,1330.710761372318
2,230898,1245.3916586422772
2,231101,1237.7778429879777
2,241120,1256.5699688106436
2,245022,1257.6506130573725
2,230768,1158.2147773968354
2,229691,1159.4336947510674
2,202018,1038.5898018824207
2,202542,1038.8205619150785
2,208649,1103.0790107727532
2,208077,1072.5506063475407
2,207474,1072.7119880204227
2,207514,1128.7970503276217
2,203655,1094.6742954223519
2,204216,1094.4453486322336
2,240687,1077.4558504396982
2,240770,1078.4063621525797
2,258331,1038.296534097406
2,245663,1142.290253570192
2,244501,1142.937322558168
2,244803,1140.3925967675805
2,12645,363.4692485443366
2,12395,391.8876399201431
2,29216,345.37732556821874
2,29888,292.15089908575635
2,29272,284.23965449907104
2,23081,280.2244838500522
2,13301,494.091983953418
2,17294,500.0762991619958
2,127478,347.3107550199274
2,115271,334.599060355935
2,115295,333.54426480601194
2,115290,334.61273501989007
2,114759,329.4958664150636
2,127535,364.2538296131187
2,126994,367.3492546600464
2,127876,366.7724176399021
2,127721,367.9016388022381
2,127514,364.55372621989005
2,125669,367.95241135535997
2,125908,365.6942083942917
2,125675,367.80826543467884
2,127670,366.6257307121363
2,127444,366.8251270345898
2,127874,366.6039254990134
2,127158,365.5340600156931
2,126838,351.59792546560084
2,125294,348.41447709979354
2,125515,344.5201394124062
2,37732,201.60221250738383
2,55860,241.51411114170668
2,55680,242.5483085237726
2,52644,217.86543975999084
2,51973,217.63469463120455
2,49624,169.38356128903015
2,49608,172.12308564719777
2,49316,170.3992488558545
2,37371,165.93673305333013
2,37806,165.5205886079285
2,52327,216.94308874773054
2,53210,217.98942150228598
2,52719,216.52304945372518
2,61249,242.7684216411397
2,61018,247.4017609850637
2,68811,24.009747756945753
2,76568,19.60875442308359
2,68871,63.22962749324878
2,99648,243.32926705494287
2,75574,81.46193128234864
2,66893,23.60478047363886
2,80426,242.36638078515946
2,95675,159.19490450333728
2,69588,63.10054215571241
2,68294,30.383898944676314
2,99195,93.38071311646154
2,119795,216.67913866878183
2,69492,160.72501295015223
2,92888,62.943917232850524
2,99758,244.59481879760196
2,98952,240.5859911306561
2,158382,242.5997650629894
2,154469,240.4147969996785
2,159999,243.17286046898124
2,161333,242.78335736321537
2,153843,240.17890642567824
2,177041,206.45065673589488
2,139793,17.439576125553973
2,162820,47.187316794025485
2,131267,162.82264683540146
2,132986,63.734482391260826
2,163396,57.265800695710624
2,163287,61.9506541921326
2,141996,202.95147750194664
2,212542,421.9996135347872
2,212008,420.04812741316
2,212523,494.30935059624767
2,211933,493.12834089522596
2,203017,487.03093303499446
2,207725,487.914087581244
2,207519,487.12674070185534
2,203062,427.53746578734865
2,202425,430.9630766207214
2,211789,486.70673059674056
2,211325,487.9955063973016
2,201451,420.0977716734386
2,251575,498.1722377991061
2,235023,446.93105572951316
2,234589,445.6145042493413
2,231135,387.3933789111334
2,231227,384.30640383979085
2,204926,44.01294062736279
2,212548,60.32614069076892
2,226307,47.73058892401103
2,216874,84.75754522061166
2,212244,61.56040563119511
2,202554,57.87217198576693
2,202668,63.31534267860311
2,223250,23.436423707569183
2,241118,174.59201739724332
2,240773,245.49702689076219
2,231598,242.18642532885295
2,240784,174.88353378151194
2,240945,149.13565328379295
2,243555,239.73003666441136
2,254658,206.82132246981803
2,255738,168.69271950516247
2,255069,175.05668421461988
2,254296,170.65839258021958
2,189907,361.3411602014694
2,184412,293.1608524680714
2,184143,363.385290653606
2,176659,293.37807802196033
2,189560,331.3823401639814
2,165059,342.4204251751524
2,161006,259.9023185770922
2,165732,425.21685461418764
2,148788,360.4347720981221
2,176416,276.263581470788
2,178051,286.6841691700612
2,173597,412.74567694437513
2,141505,265.0761570075671
2,185102,371.82950417758593
2,158338,368.06225235771336
2,185076,256.702442025001
2,161655,293.30133903042014
2,96184,518.3199609163446
2,65696,602.1706072484236
2,94505,515.0521652156172
2,80867,554.949934383836
2,69026,512.0590178366136
2,68898,602.6383445117579
2,67707,556.5289551483646
2,125753,528.2928995510397
2,125728,562.789978027344
2,93733,627.6266365162836
2,114305,678.7497375809569
2,74103,717.4931598970971
2,125370,625.7811173560502
2,100162,671.0548356990822
2,127610,529.3470192536145
2,29951,727.7840804286336
2,29839,722.2411112592247
2,24,725.438543291411
2,6353,722.7079507624014
2,29658,725.9049358366441
2,80,718.9013622075689
2,1681,717.2255922506016
2,17045,531.3328423972578
2,29908,572.5943832591136
2,28345,546.2849640109472
2,29533,562.789978027344
2,16756,531.1341668011438
2,31051,571.3503436938137
2,29443,553.1894570599674
2,49256,529.6015776489174
2,42373,555.839738638744
2,62654,610.1638243521274
2,51258,627.1970069470359
2,52939,536.5098250016115
2,1168,893.2068419450194
2,12915,893.1174404353244
2,2023,841.0499950917647
2,29486,893.7712299598654
2,29420,892.7118316550097
2,29482,860.4122612582739
2,1480,840.1467025013708
2,1471,840.4173139286731
2,29786,844.6394825116286
2,29809,847.028963789375
2,7212,836.4410103513708
2,17309,837.1327313794686
2,29492,879.8657497708117
2,29289,876.467178419003
2,115275,860.9710168256107
2,112740,893.6173677200959
2,107696,807.0184031536854
2,107856,803.2103373554946
2,98732,860.6002421169184
2,100214,811.7485757460416
2,99761,892.283109864415
2,89148,908.0111471571097
2,100036,870.0302809654117
2,114866,987.0076296737695
2,79917,775.728078915821
2,126459,907.3222860912729
2,126862,771.7454417964306
2,231070,834.1534315742988
2,240997,837.9733369814567
2,248485,799.5053067252088
2,248158,797.1970796683745
2,254421,820.7425827891643
2,251586,819.4321643660862
2,250477,820.0807991334397
2,230293,835.5787194315598
2,240766,819.4539642962367
2,241147,817.0421155631487
2,240951,952.301756105627
2,251272,920.2155520625072
2,250730,923.49574750987
2,230296,907.840126744592
2,250948,907.2829834976015
2,251037,905.8309981084773
2,148923,925.404757675868
2,159765,927.1901127457156
2,158771,917.1209313807224
2,158534,910.9366428497387
2,190435,878.6944085268958
2,164951,928.3267389678788
2,148700,904.4078423507069
2,159812,830.3313522876457
2,190015,990.4652998988689
2,189233,984.4367673778045
2,155332,892.8706151786824
2,141313,846.014692366258
2,160830,877.1881735110512
2,173719,780.2489212777932
2,189254,892.985823284997
2,154064,996.9189556383169
2,154019,992.779366741713
2,141278,816.9378719679725
2,142231,812.6164268943812
2,201284,610.6057196198935
2,245411,552.9388800891919
2,226909,516.2225624168136
2,196705,558.9562467915719
2,240863,600.7204640295337
2,250013,625.4552152492249
2,255628,626.4787059725628
2,215688,544.8749931640832
2,255766,624.2829494382534
2,230778,602.6196772051092
2,148625,654.9753640814606
2,159477,676.2542503578562
2,163466,679.8704387328905
2,148561,726.0183567488476
2,153732,723.9753382808008
2,135243,737.953287679727
2,145929,707.9880475600027
2,177908,584.2816199105939
2,181010,600.6590618647249
2,154718,692.8400864774098
2,184493,748.2746351851258
2,146579,544.8260509590888
2,148578,707.3254209128062
2,177517,575.9085517366149
2,155416,528.0984761947352
2,358259,498.52038569320587
2,336498,388.06471827978487
2,342314,384.7432561859792
2,352133,429.57469561067484
2,358117,445.18704938557926
2,355969,484.95016613700255
2,343996,486.9283987732208
2,341402,492.45071027850884
2,358399,339.24357433025136
2,374416,447.8592925532098
2,372863,363.0289792792651
2,351587,494.36013614576945
2,358055,330.31965769648485
2,366811,501.22511398929674
2,383160,414.64289530974423
2,370269,335.64555702123533
2,386562,411.8397776900393
2,362330,363.42642107635294
2,381405,340.03933080139007
2,372838,112.47944520308738
2,374779,16.868726502197184
2,373566,18.650837383752645
2,367903,104.85048613929256
2,367251,105.53721643689971
2,358015,241.55389985841506
