EF14U2,EF12U2,TAETIGKEITSSCHLUESSEL4,B52,TAETIGKEITSSCHLUESSEL5
2018,1952,1,1434.3803068494537,3
2018,1955,1,1465.482491130783,3
2018,1955,1,1301.1885905778854,3
2018,1955,2,231.92228492509025,4
2018,1957,2,1159.2279524735154,3
2018,1955,2,1047.293506170008,4
2018,1957,2,808.8247977828989,3
2018,1955,1,1415.7267748348336,3
2018,1957,2,654.3066209130351,4
2018,1955,2,876.6068437687497,4
2018,1957,2,1135.1302866322249,2
2018,1955,2,1077.0737522885636,2
2018,1957,2,1102.3152418356271,3
2018,1955,2,548.3840773186575,3
2018,1957,2,1047.9008763537943,4
2018,1955,2,1192.2913534692923,3
2018,1957,2,1195.8789749915625,3
2018,1956,2,1133.3359730927168,2
2018,1957,2,1156.8889778273394,2
2018,1956,2,1261.5266496553636,2
2018,1958,2,609.1664079482609,4
2018,1956,1,627.7153773911904,4
2018,1958,1,980.2038081541355,1
2018,1956,2,670.4881592216473,4
2018,1958,2,1059.2634620254196,4
2018,1956,1,465.80150881561264,1
2018,1958,1,909.8636970716633,1
2018,1956,2,559.6821167538059,4
2018,1958,1,1285.2386328817074,3
2018,1956,1,429.28529624523793,1
2018,1958,1,981.2528761329105,1
2018,1956,1,1227.4357711647333,4
2018,1958,1,1133.035270094626,4
2018,1957,1,460.1392180012678,1
2018,1958,2,869.7202401411779,4
2018,1957,1,681.9772149991967,4
2018,1958,1,670.6668560921896,4
2018,1957,1,459.36692289749544,1
2018,1958,1,676.0620133850463,4
2018,1957,1,1156.4475399846792,2
2018,1959,1,1230.5676021008287,2
2018,1957,1,486.3744265034998,1
2018,1959,1,1224.5709690417355,2
2018,1957,1,487.20482978066275,1
2018,1959,1,1158.7931892402216,4
2018,1958,1,1159.744694549534,2
2018,1959,1,1159.0172235128498,2
2018,1958,2,844.6145280951364,3
2018,1959,1,1156.8916641055844,2
2018,1958,1,162.76073478624005,4
2018,1960,2,835.8510886234168,1
2018,1958,2,1200.426199585117,4
2018,1960,2,203.1029912791826,4
2018,1958,2,81.85330346832535,2
2018,1960,2,62.400484875869765,4
2018,1958,1,475.45473001808807,2
2018,1960,2,673.1888652325216,3
2018,1958,2,1208.1943207613401,4
2018,1960,2,837.1296215130338,3
2018,1959,2,837.9851471304129,3
2018,1960,2,687.7876318031637,3
2018,1959,2,127.61360762869619,2
2018,1960,2,1133.7238626035264,4
2018,1959,2,203.07892814100072,4
2018,1960,1,465.48940358144455,2
2018,1959,2,1130.7024098320674,4
2018,1960,2,832.3622783648998,3
2018,1959,1,171.54301719731345,4
2018,1960,1,426.09235279760765,1
2018,1959,2,877.6505607080629,4
2018,1960,2,81.78661814087613,2
2018,1959,1,787.7154275401774,3
2018,1960,2,84.20751861695989,2
2018,1959,2,126.25044690346454,2
2018,1961,2,772.4657625112433,1
2018,1959,2,879.9419942516377,3
2018,1961,2,1038.7672875237722,3
2018,1959,1,852.2101810450939,3
2018,1961,1,805.5587911342552,3
2018,1959,2,1132.0505809574036,3
2018,1961,2,85.97304608425685,4
2018,1960,2,1130.1906537127654,3
2018,1961,1,174.70650158037006,1
2018,1960,1,128.39753562354258,3
2018,1962,1,236.90659041746233,4
2018,1960,1,457.8189541832674,1
2018,1962,2,610.7324085396475,4
2018,1960,1,627.9272867573054,4
2018,1962,1,671.482141294767,4
2018,1960,1,1159.312820950012,2
2018,1962,1,57.12982246193435,3
2018,1960,1,481.0696971862537,2
2018,1962,2,458.56371924155394,1
2018,1960,1,478.33860749310185,2
2018,1962,1,626.5914575498574,4
2018,1960,1,457.7002408951701,2
2018,1962,2,363.1993174944813,1
2018,1960,1,95.96445362468654,3
2018,1962,1,1132.1205350079692,2
2018,1960,1,161.77903738601543,3
2018,1962,1,458.9410787504425,2
2018,1961,1,1156.189347599599,2
2018,1962,2,1248.9370502714671,3
2018,1961,1,409.62373890801206,3
2018,1962,1,460.60552902113903,3
