EF19,TAETIGKEITSSCHLUESSEL4,B52,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
363,2,370.66737806434384,1,5,3,101
293,1,225.05230539748771,1,14,2,101
215,2,823.1257164164272,7,16,1,101
154,1,871.182150204794,3,14,3,101
314,1,495.1105205248371,3,16,1,101
256,2,1040.9055131532311,5,14,1,101
373,2,803.8718692916557,3,16,1,101
215,2,502.76825035499,5,14,4,101
1,2,972.1923882687661,7,16,1,101
87,1,892.3724159794122,2,14,1,101
304,1,370.74038252629913,3,17,1,101
373,2,893.4463939639558,7,14,3,101
311,2,216.4794499126173,4,17,3,101
292,2,411.1586304138506,6,14,3,101
209,1,685.2403284861693,5,17,1,101
160,1,892.5719635971877,6,14,3,101
278,2,130.38764012713284,3,17,4,101
169,2,742.2295747618025,5,14,4,101
43,1,879.9601753228993,3,18,1,101
215,2,502.14737117837234,5,14,4,101
26,1,893.7312844411641,5,18,4,101
87,1,1275.842152109879,6,15,4,101
310,1,216.71135519649943,3,18,4,101
110,2,162.96041912322215,6,16,4,101
373,2,128.04709406417163,1,18,3,101
278,2,1141.3437315806957,5,16,4,101
213,2,879.0313110512178,5,18,4,101
266,1,107.34693153448828,5,17,4,101
26,1,292.8180307819747,4,18,3,101
34,1,879.1071291170128,4,17,3,101
269,1,1047.814845955199,5,18,4,101
217,1,878.5793079501415,3,17,1,101
195,1,981.1057699179997,5,18,4,101
127,1,669.4176809185024,6,17,4,101
201,1,244.47724230891825,5,18,4,101
169,1,1121.8189089436116,5,18,4,101
175,2,373.4408931597823,6,18,3,101
286,2,110.09243731142764,6,18,4,101
304,2,1043.2902353733384,4,18,3,101
323,1,40.82201776393242,1,18,2,101
304,2,1043.300685903668,4,18,1,101
261,1,1143.3943890982744,4,18,3,101
280,1,100.83079612455151,1,18,3,101
327,2,815.3173293516043,5,18,1,101
34,1,839.1932773460014,5,19,1,101
230,1,546.9356813228919,6,18,1,101
249,1,462.1990850512726,2,19,3,101
73,1,1150.2933279355625,1,18,3,101
272,1,892.8123649398195,3,20,4,101
370,2,124.13702648126235,4,18,1,101
90,2,225.21512347436277,2,20,3,101
269,2,1047.7800924871078,5,18,4,101
189,2,390.4328916171814,7,20,1,101
181,1,1062.3514690426575,5,18,1,101
47,1,216.66005075474237,4,20,1,101
43,2,1128.3696121819107,1,19,3,101
195,2,246.24034478942372,2,20,2,101
269,1,1040.1916836924138,5,20,1,101
346,1,77.08738650548955,3,20,3,101
116,2,1150.1146249791602,7,20,2,101
246,2,964.2978678469217,2,20,3,101
288,1,258.6246460809703,6,20,3,101
188,1,672.5459156239909,4,20,3,101
34,2,836.7792625122322,4,20,3,101
116,1,877.2202189851157,2,20,1,101
334,2,986.2614758209965,5,20,3,101
311,2,413.7281151383351,2,20,3,101
63,1,456.4915329853841,2,20,3,101
321,1,626.628908611546,3,20,1,101
56,2,862.7136223500219,3,20,3,101
94,2,332.1759110120216,6,20,3,101
92,1,1174.3199556342263,7,20,2,101
336,1,784.407546824186,5,20,3,101
