TAETIGKEITSSCHLUESSEL4,EF21H
2,113.16783123294077
2,114.71940521669015
2,112.90061394211457
2,112.5453453619851
2,116.45870892833877
2,116.70967273225499
2,119.97954907252668
2,116.18216918063021
2,0.5730191783026459
2,15.184412660598424
2,0.3528929007852071
2,5.73652706482731
2,1.3137576149554224
2,3.795884440915085
2,47.9663446237618
2,40.70933661410612
2,45.95179967869093
2,42.4541642110699
2,47.36148869289652
2,47.978532428816436
2,40.60538113036998
2,40.05573237337626
2,43.78658602890266
2,45.02623156193715
2,44.46860859158029
2,40.556654225325396
2,46.21833721673166
2,42.59608040504005
2,42.63035730127043
2,159.61669054462413
2,145.5760343897208
2,152.67990850164026
2,181.4318116164786
2,178.79142017643377
2,180.5920275947775
2,178.26668354985188
2,182.91766561112502
2,182.49875835871396
2,179.77696557722302
2,180.03855832835515
2,176.97040287883144
2,213.56896975005682
2,204.9716971211087
2,220.13026472850493
2,209.82223426334383
2,218.0694667621212
2,193.00923618934706
2,200.38544389251024
2,195.14253345936766
2,224.8281067623889
2,234.11081966001007
2,224.20317761569083
2,236.3332887449733
2,231.6532872624814
2,228.07126231935752
2,227.285494403748
2,228.95067496089135
2,236.76781196443164
2,316.93758537098387
2,314.95197604401335
2,319.02624979532317
2,307.6120282125265
2,306.90769458239913
2,276.0891961467986
2,275.93576864526307
2,276.43381141078174
2,274.9883828938732
2,276.851680199362
2,277.5331127895608
2,274.9876306880693
2,274.01573964032656
2,274.4108373002011
2,264.9606206529372
2,267.60244661495284
2,269.38697153202344
2,266.920446664477
2,266.1158017075143
2,265.2550739356322
2,344.62674574908124
2,346.91177871900305
2,323.01675719414885
2,331.0180667538719
2,320.8202809714681
2,345.8422197057048
2,324.7991782434258
2,334.26811876264816
2,350.888914823006
2,348.0925641369428
2,463.7356781104065
2,461.2879562196417
2,461.0264425457865
2,457.6888229679857
2,457.5727628863352
2,463.1319280169355
2,459.9008054410583
2,509.3916586422773
2,509.48102442399886
2,503.56544744761396
2,497.1399376212872
2,509.1203256244894
2,510.1614002993376
2,504.8591095873421
2,498.4676889870461
2,497.3430603947024
2,506.3592075296828
2,391.179936115879
2,401.7238890940469
2,415.0790107727533
2,393.60347043717496
2,390.9798442755373
2,401.42397604084545
2,389.2038413673637
2,441.5836402679611
2,438.67429542235175
2,430.86019823615715
2,440.5152672279467
2,442.9117008793965
2,530.0332761910169
2,534.5041003492728
2,532.5930681948122
2,535.8114852570492
2,544.1626434034483
2,557.8746451163362
2,558.1309992993392
2,558.0692239379982
