EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2
526,2,53,2,aa,61,5
605,2,87,2,aa,29,5
1044,2,24,2,aa,36,5
1700,2,24,2,aa,48,1
1815,2,87,2,aa,61,1
2041,1,85,2,aa,8,2
4701,1,20,2,aa,31,4
5443,2,20,2,aa,26,5
5541,1,84,2,aa,21,5
5649,1,84,2,aa,21,5
5834,1,84,1,aa,19,1
6516,2,29,2,aa,40,1
7795,2,20,1,aa,24,4
10243,1,54,2,aa,31,3
10480,1,47,1,aa,43,3
11089,1,47,1,aa,63,3
11421,2,30,2,aa,43,3
12020,2,83,2,aa,40,3
12048,2,86,1,aa,30,3
12167,2,41,1,aa,43,3
12351,2,84,1,aa,9,3
12387,2,84,2,aa,44,3
12445,1,20,1,aa,47,2
12684,2,84,2,aa,28,7
12751,2,47,2,aa,62,1
12878,2,30,1,aa,36,2
12982,2,30,2,aa,55,2
13079,2,80,1,aa,44,5
13217,2,52,2,aa,62,7
15589,2,47,2,aa,37,7
15652,2,17,1,aa,1,5
15663,1,57,2,aa,43,7
15792,2,16,1,aa,37,5
15797,1,69,1,aa,1,7
15825,1,17,2,aa,2,2
16392,1,17,2,aa,23,5
17121,1,83,1,aa,23,5
17164,1,42,1,aa,0,2
17584,2,42,1,aa,52,7
17729,2,82,2,aa,61,7
17741,2,63,1,aa,29,7
17872,1,43,2,aa,0,5
18064,2,30,1,aa,53,2
18201,2,83,2,aa,63,1
18234,1,62,2,aa,28,4
18266,1,16,1,aa,51,5
18266,2,62,1,aa,1,7
18298,1,40,2,aa,63,2
22725,1,49,1,aa,0,4
22852,1,49,2,aa,23,7
22929,1,41,1,aa,48,7
22934,2,52,2,aa,17,3
23233,1,62,1,aa,19,3
23537,1,70,1,aa,44,5
23872,1,71,1,aa,28,3
23930,1,70,1,aa,63,4
24117,1,82,1,aa,19,5
24323,1,82,2,aa,33,5
24667,1,86,1,aa,17,3
25093,1,26,1,aa,60,4
25116,2,70,2,aa,60,3
25156,2,70,2,aa,42,3
25505,1,40,1,aa,45,5
25873,1,71,1,aa,18,1
25930,1,71,2,aa,23,4
26200,1,31,2,aa,16,4
26364,1,70,2,aa,11,4
26403,1,63,2,aa,17,1
26541,1,87,2,aa,54,7
26590,1,87,2,aa,43,7
26775,1,70,2,aa,11,2
26928,1,54,2,aa,18,1
27004,2,28,2,aa,35,6
27036,2,30,2,aa,16,3
27045,2,30,2,aa,32,2
27677,2,48,1,aa,52,6
27872,1,30,2,aa,43,2
28405,1,82,2,aa,23,2
28517,1,29,2,aa,60,3
29401,2,22,2,aa,33,3
29407,1,22,2,aa,32,6
29528,1,49,2,aa,54,3
29528,2,82,2,aa,24,6
29620,1,83,1,aa,16,3
29742,2,83,1,aa,28,6
29819,1,62,2,aa,12,4
29845,1,17,2,aa,12,2
29907,1,83,1,aa,13,3
29949,1,17,1,aa,32,4
30766,2,81,1,aa,29,2
30869,2,68,1,aa,14,3
30886,1,30,1,aa,18,5
30924,1,68,1,aa,9,2
31027,2,68,1,aa,18,5
31084,2,68,1,aa,0,6
31088,2,62,1,aa,11,5
31141,2,62,1,aa,47,2
31206,2,46,1,aa,0,7
31225,2,42,1,aa,30,6
35942,1,73,2,aa,15,4
36196,1,82,2,aa,58,2
36204,2,36,2,aa,24,2
36291,2,73,2,aa,39,4
36314,1,38,2,aa,15,4
36517,2,50,2,aa,14,7
37049,2,47,2,aa,14,2
37839,1,50,2,aa,4,2
38324,2,64,1,aa,58,4
38421,1,19,1,aa,4,5
38514,2,44,1,aa,51,2
38681,1,50,2,aa,58,1
38708,1,59,2,aa,58,2
41062,1,57,1,aa,52,1
41109,1,48,2,aa,29,1
41304,1,50,1,aa,5,6
42350,2,21,1,aa,5,7
45720,1,64,1,aa,58,6
46288,1,64,1,aa,5,3
46736,1,63,1,aa,39,6
47238,1,42,1,aa,58,4
47249,1,51,2,aa,14,4
47376,1,51,2,aa,6,6
47908,2,21,1,aa,58,1
48111,2,66,1,aa,5,6
48275,1,66,2,aa,58,3
49268,2,83,2,aa,43,1
49375,2,39,2,aa,43,6
49635,1,75,2,aa,14,1
50254,2,56,2,aa,6,1
50386,1,66,2,aa,14,3
50608,1,47,2,aa,6,6
50989,1,70,2,aa,14,3
51266,2,70,2,aa,15,4
51848,2,42,1,aa,38,6
52014,1,66,1,aa,55,7
52084,1,46,1,aa,34,1
52578,1,77,1,aa,13,3
55525,2,35,1,aa,5,1
56328,1,17,1,aa,42,6
56330,1,35,1,aa,49,6
56358,2,59,1,aa,35,6
56429,2,41,1,aa,49,6
56533,1,40,2,aa,14,3
56712,1,60,2,aa,35,5
57110,2,32,2,aa,42,1
57308,1,71,1,aa,14,2
59938,2,71,2,aa,43,6
59985,1,32,1,aa,50,4
60137,1,45,2,aa,43,7
60286,1,40,1,aa,43,5
60507,2,87,2,aa,50,3
61068,1,37,1,aa,43,1
61990,2,19,2,aa,12,3
62861,1,74,1,aa,27,5
63124,1,20,2,aa,7,2
63280,1,66,2,aa,35,7
64374,1,47,1,aa,29,2
64416,2,74,2,aa,15,5
65075,1,35,2,aa,27,5
65786,2,21,2,aa,32,7
68161,2,46,2,aa,31,2
69225,1,31,1,aa,31,7
69420,2,40,1,aa,9,2
73974,2,20,1,aa,3,2
74122,1,17,1,aa,39,2
74335,2,67,2,aa,59,7
75307,2,35,2,aa,28,2
75354,2,52,1,aa,23,2
75473,1,17,2,aa,9,5
75584,2,52,1,aa,59,2
76534,1,30,1,aa,35,2
78408,2,73,2,aa,2,2
78866,2,78,2,aa,32,2
80137,1,35,2,aa,30,2
80178,1,53,1,aa,30,4
